fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-00033_ses-3_run-1_T1w,-42,-45,119062,117406,116966,115245,1
sub-00099_ses-3_run-1_T1w,-37,-41,120318,120234,118763,118065,1
sub-00102_ses-3_run-1_T1w,-34,-34,128308,127276,125367,124969,1
sub-00137_ses-3_run-1_T1w,-55,-37,120810,119192,118098,116756,1
sub-00151_ses-3_run-1_T1w,-23,-40,137534,137786,135432,135233,1
sub-00179_ses-3_run-1_T1w,-48,-42,128738,126770,125711,125149,1
sub-00229_ses-3_run-1_T1w,-96,-84,142810,138958,136578,129899,1
sub-00236_ses-3_run-1_T1w,-37,-34,105174,104654,103403,103017,1
sub-00250_ses-3_run-1_T1w,-27,-15,98790,98554,97855,97737,1
sub-00258_ses-3_run-1_T1w,-24,-23,114154,111824,112394,110152,1
sub-00263_ses-3_run-1_T1w,-27,-25,119412,118752,118185,117884,1
sub-00269_ses-3_run-1_T1w,-58,-60,142836,140220,140800,137931,1
sub-00272_ses-3_run-1_T1w,-57,-38,149178,146892,146665,143709,1
sub-00354_ses-3_run-1_T1w,-44,-22,138484,137898,136082,135871,1
sub-00369_ses-3_run-1_T1w,-81,-60,121452,118640,115661,113510,1
sub-00383_ses-3_run-1_T1w,-44,-42,120718,116060,118017,113466,1
sub-00409_ses-3_run-1_T1w,-47,-37,125910,125098,123136,122286,1
sub-00421_ses-3_run-1_T1w,-28,-29,123484,122416,122089,120770,1
sub-00428_ses-3_run-1_T1w,-35,-22,119776,119958,118462,118949,1
sub-00445_ses-3_run-1_T1w,-81,-66,139700,139954,136075,135216,1
sub-00514_ses-3_run-1_T1w,-41,-31,132148,129632,129554,127323,1
sub-00536_ses-3_run-1_T1w,-55,-53,115892,114326,113268,110434,1
sub-00574_ses-3_run-1_T1w,-34,-26,125888,125594,124410,124680,1
sub-00585_ses-3_run-1_T1w,-42,-33,132846,132746,130764,131489,1
sub-00598_ses-3_run-1_T1w,-58,-56,120610,119924,117416,116617,1
sub-00705_ses-3_run-1_T1w,-30,-18,118648,115834,117006,114051,1
sub-00716_ses-3_run-1_T1w,-19,-19,127968,127110,127249,126475,1
sub-00747_ses-3_run-1_T1w,-41,-52,123328,123834,120558,120858,1
sub-00795_ses-3_run-1_T1w,-32,-33,147100,147250,145373,144972,1
sub-00828_ses-3_run-1_T1w,-30,-31,139632,136460,137291,134733,1
sub-00829_ses-3_run-1_T1w,-61,-62,121814,119004,118535,116384,1
sub-00917_ses-3_run-1_T1w,-39,-34,100994,100200,98697,97891,1
sub-00944_ses-3_run-1_T1w,-22,-25,104204,104286,103067,102976,1
sub-00958_ses-3_run-1_T1w,-60,-71,118720,118602,116462,116042,1
sub-00960_ses-3_run-1_T1w,-28,-21,111322,110834,110011,109486,1
sub-00972_ses-3_run-1_T1w,-44,-37,117136,114858,114715,112922,2
sub-00994_ses-3_run-1_T1w,-46,-51,121086,118470,117387,115690,1
sub-01041_ses-3_run-1_T1w,-64,-55,121350,127514,118435,120215,1
sub-01075_ses-3_run-1_T1w,-21,-34,116602,115270,115175,113661,1
sub-01111_ses-3_run-1_T1w,-50,-47,111502,112538,109178,110552,1
sub-01160_ses-3_run-1_T1w,-47,-48,119832,117012,117094,114105,1
sub-01165_ses-3_run-1_T1w,-40,-34,133394,133976,131240,132656,1
sub-01177_ses-3_run-1_T1w,-42,-22,125644,122826,123809,121069,1
sub-01186_ses-3_run-1_T1w,-52,-42,128254,126392,125913,124378,1
sub-01234_ses-3_run-1_T1w,-36,-27,146950,145764,144588,143307,1
sub-01236_ses-3_run-1_T1w,-64,-45,113798,115774,110145,112626,1
sub-01247_ses-3_run-1_T1w,-43,-43,114636,113280,113567,111563,1
