fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-01261_ses-3_run-1_T1w,-41,-36,144646,147610,141411,143980,1
sub-01272_ses-3_run-1_T1w,-33,-21,107692,107442,105384,105460,1
sub-01284_ses-3_run-1_T1w,-27,-21,109294,109802,107691,107704,1
sub-01300_ses-3_run-1_T1w,-28,-25,136690,138076,134728,136592,1
sub-01305_ses-3_run-1_T1w,-33,-19,139844,141084,136031,139337,1
sub-01317_ses-3_run-1_T1w,-31,-29,142286,141508,140082,139628,1
sub-01405_ses-3_run-1_T1w,-30,-24,127534,129482,126319,127926,1
sub-01414_ses-3_run-1_T1w,-50,-32,133098,133450,128994,129108,1
sub-01434_ses-3_run-1_T1w,-30,-28,139180,136858,135510,134721,1
sub-01485_ses-3_run-1_T1w,-40,-24,159386,160860,157223,158453,1
sub-01496_ses-3_run-1_T1w,-43,-42,133254,132272,130804,129534,1
sub-01518_ses-3_run-1_T1w,-33,-27,145916,144462,142899,142069,1
sub-01519_ses-3_run-1_T1w,-32,-34,121630,121788,118183,119879,1
sub-01521_ses-3_run-1_T1w,-42,-25,130720,126352,128014,124328,2
sub-01542_ses-3_run-1_T1w,-33,-20,156208,155112,153320,153465,1
sub-01564_ses-3_run-1_T1w,-24,-17,123554,123640,121291,121586,1
sub-01567_ses-3_run-1_T1w,-30,-24,110106,111746,108488,109977,1
sub-01577_ses-3_run-1_T1w,-27,-19,124476,124158,121745,121977,1
sub-01579_ses-3_run-1_T1w,-27,-20,122044,121420,120117,120196,1
sub-01610_ses-3_run-1_T1w,-19,-15,135154,134394,133206,133099,1
sub-01622_ses-3_run-1_T1w,-34,-25,136538,136854,133890,134031,1
sub-01650_ses-3_run-1_T1w,-27,-32,115146,117360,112295,113326,1
sub-01656_ses-3_run-1_T1w,-34,-25,137638,136700,136191,135041,1
sub-01672_ses-3_run-1_T1w,-39,-27,132214,132322,128639,128712,1
sub-01731_ses-3_run-1_T1w,-24,-28,132968,133528,129494,131178,1
sub-01740_ses-3_run-1_T1w,-43,-28,126388,128060,123513,124400,1
sub-01751_ses-3_run-1_T1w,-36,-26,150330,152470,147514,149414,1
sub-01762_ses-3_run-1_T1w,-46,-23,139492,140282,135891,136276,1
sub-01778_ses-3_run-1_T1w,-27,-29,125198,124674,123781,123446,1
sub-01801_ses-3_run-1_T1w,-25,-26,137038,137892,135417,136354,1
sub-01806_ses-3_run-1_T1w,-32,-29,135484,137326,133399,135470,1
sub-01854_ses-3_run-1_T1w,-39,-33,144914,145374,142288,142099,1
sub-01877_ses-3_run-1_T1w,-31,-41,127700,127560,124148,124073,1
sub-01889_ses-3_run-1_T1w,-28,-25,121470,125394,120455,123729,1
sub-01901_ses-3_run-1_T1w,-17,-26,143962,143908,141577,141446,1
sub-01929_ses-3_run-1_T1w,-28,-24,122072,120126,118917,118176,1
sub-01961_ses-3_run-1_T1w,-14,-27,121398,124932,118857,122073,1
sub-01977_ses-3_run-1_T1w,-40,-28,115628,114934,112354,110522,1
sub-01981_ses-3_run-1_T1w,-30,-27,139056,141158,134893,136675,1
sub-01982_ses-3_run-1_T1w,-25,-18,131626,131586,128320,129473,1
sub-02016_ses-3_run-1_T1w,-20,-21,122758,123510,121576,122374,1
sub-02025_ses-3_run-1_T1w,-34,-32,148126,150044,145265,146730,2
sub-02025_ses-3_run-2_T1w,-34,-32,148126,150044,145265,146730,1
sub-02032_ses-3_run-1_T1w,-19,-17,111900,111932,110848,110449,1
sub-02067_ses-3_run-1_T1w,-66,-61,152072,148370,146597,141702,1
sub-02073_ses-3_run-1_T1w,-28,-21,117946,116910,115916,114838,1
sub-02095_ses-3_run-1_T1w,-34,-32,146296,148388,143732,145377,1
sub-02109_ses-3_run-1_T1w,-39,-38,135526,137082,132391,133937,1
