fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
C01,-21,-29,153368,153990,151577,152168,1
C02,-18,-20,136292,135906,132994,132604,1
C03,-25,-31,126064,125370,123300,122913,1
C04,-32,-29,124402,123990,122995,121114,1
C05,-59,-44,171698,169406,166902,166654,1
C06,-14,-17,129020,127096,127211,125592,1
C07,-26,-23,135254,136982,132226,134199,1
C08,-17,-28,134480,134524,132091,131993,1
C10,-19,-20,161888,158324,159391,156669,1
C11,-50,-42,143426,139704,135619,134626,1
C12,-35,-24,125732,123632,123922,122028,1
C13,-22,-26,134332,137344,132385,135130,1
C15,-34,-33,131864,136180,128905,132850,1
C16,-23,-19,122558,123446,121190,122170,1
C17,-18,-30,134708,135490,131336,131473,1
C18,-26,-20,147280,146362,145198,143596,1
C19,-18,-28,122452,124916,118929,122140,1
