fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
GABCCUVR24021995_20171205_001_005_t1_mprage_SAG_p2_iso,-31,-23,139954,139788,136592,138150,1
GABCGBCG11041982_20181102_001_005_t1_mprage_SAG_p2_iso,-17,-25,114736,113260,108923,111481,1
GABCPFAG26061982_20180131_001_005_t1_mprage_SAG_p2_iso,-24,-21,138850,138010,136832,136217,1
GABCPVRG05011995_20171204_001_005_t1_mprage_SAG_p2_iso,-26,-33,141602,139320,137823,136716,1
GABCRLV11021983_20181102_001_005_t1_mprage_SAG_p2_iso,-30,-33,155676,157672,153399,155740,1
GABCSMC05081995_20171212_001_005_t1_mprage_SAG_p2_iso,-24,-34,135720,138498,133208,135613,1
GABCVBV18061968_20181102_001_005_t1_mprage_SAG_p2_iso,-25,-22,133764,133990,131238,130599,1
GABJLSI920621_20180209_001_005_t1_mprage_SAG_p2_iso,-33,-44,161986,161628,157801,157563,1
GABMLS31101992_20171012_001_005_t1_mprage_SAG_p2_iso,-29,-35,147624,148950,144901,145609,1
GADPP02061993_20171012_001_006_t1_mprage_SAG_p2_iso,-36,-34,151718,152892,147507,146739,1
INFSAMR05071994_20180727_001_005_t1_mprage_SAG_p2_iso,-49,-52,149758,147820,144378,144877,1
PX85,-25,-21,134056,131978,131931,129930,1
PX86,-34,-22,126004,125476,123093,122904,1
PX87,-44,-36,147466,147820,142944,144732,1
PX89,-44,-39,129966,127854,126481,125023,1
PX90,-21,-19,151454,153266,148889,150986,1
