fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
C01,-99,-107,167676,166056,160279,159604,1
C02,-51,-50,137280,136594,133501,131428,1
C04,-96,-76,156048,157104,149297,150379,1
C05,-94,-86,167758,167382,162175,159607,1
C06,-70,-62,151482,155728,146754,150527,1
C07,-82,-106,163396,165956,157923,157252,1
C09,-50,-56,138940,138112,134386,133852,1
C10,-81,-64,154712,155884,149206,151644,1
C12,-85,-84,155020,157628,149096,150422,1
C13,-84,-73,159786,156948,153365,149199,1
C14,-65,-101,147388,149434,140407,141056,1
C15,-94,-96,143706,144626,137953,138764,1
C16,-54,-66,137754,140990,131880,134237,1
C17,-118,-107,153408,156722,144179,148480,1
C18,-69,-68,148382,147034,141743,141585,1
C19,-51,-36,144510,144424,138053,139638,1
C23,-85,-87,128218,130350,123260,125332,1
C24,-61,-65,162042,162908,154962,153700,1
C25,-68,-58,143552,143790,137984,138664,1
C26,-91,-64,143820,138492,136415,132651,1
C27,-71,-60,128356,130966,124417,125875,1
C28,-51,-66,133176,136562,128736,130405,1
C30,-54,-40,135486,136288,131419,131715,1
C31,-45,-53,128164,130598,123316,126658,1
C32,-52,-54,162736,162050,156562,156666,1
C34,-86,-77,169754,168032,163498,162891,1
C35,-79,-74,143714,144070,136986,137353,1
