fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
C36,-40,-35,134490,132252,130259,128588,1
C38,-48,-38,166578,167786,158266,162088,1
C39,-59,-59,154524,152468,148295,145568,1
C41,-64,-57,127592,124942,123355,122356,1
C42,-59,-47,129890,128548,123743,124087,1
C43,-43,-24,140896,139848,135857,135858,1
C44,-37,-30,149342,147920,144502,143121,1
C45,-39,-32,139638,139864,135694,135470,1
C46,-37,-41,117302,116498,112886,112010,1
C47,-47,-36,136586,135582,132586,129455,1
C48,-50,-52,160426,159314,155270,152561,1
C50,-58,-60,146566,144606,142538,139462,1
C52,-58,-58,178208,178984,165345,169114,1
C53,-23,-21,122508,126456,118726,123748,1
C54,-52,-43,154574,155206,149910,150973,1
C55,-65,-57,127422,126474,121479,121759,1
C56,-28,-44,153824,152282,149906,147345,1
C57,-28,-29,131548,131386,126410,128092,1
C58,-59,-40,147936,146768,142143,142191,1
C60,-39,-32,138596,139684,132250,131631,1
C61,-30,-51,135862,135812,131388,132710,1
C63,-34,-27,126252,124188,123586,120729,1
