fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
1,-55,-41,155276,149842,149137,145735,1
2,-52,-45,144308,138712,135110,133791,1
3,-55,-43,148836,147212,145696,145168,1
4,-42,-28,139114,134702,136361,131753,1
5,-51,-46,150316,146548,145764,142951,1
6,-62,-47,151726,148670,148985,145864,1
7,-74,-59,146314,137816,141486,133242,1
8,-51,-38,145658,139672,142387,137695,1
9,-86,-77,140482,135010,133161,128991,1
10,-58,-64,178304,173086,175154,170152,1
11,-57,-46,145552,141552,142716,139436,1
12,-71,-44,155722,152120,152879,149606,1
13,-40,-32,142816,139570,140421,136338,1
14,-80,-68,181756,175064,177049,171372,1
15,-58,-55,173834,162664,166048,159626,1
16,-74,-64,151990,146094,145806,141294,1
17,-47,-55,156606,152760,152927,148715,1
18,-99,-86,161440,156250,155254,150446,1
19,-82,-63,150732,150646,144564,146286,1
20,-55,-45,145324,145496,142402,141360,1
21,-99,-79,176796,166634,167561,159830,1
22,-60,-38,163602,157868,159106,155281,1
23,-127,-117,191866,173300,169587,156074,1
24,-61,-54,139918,134442,134244,130204,1
25,-53,-41,153884,144126,151094,141519,1
26,-58,-60,139368,134148,135748,131423,1
27,-73,-49,156750,151454,153063,148195,1
28,-82,-56,161310,152924,154436,148663,1
29,-104,-69,189880,179784,182802,174758,1
30,-74,-72,141256,140002,138260,136247,1
31,-38,-51,169710,164422,166474,162036,1
32,-84,-60,146936,141464,142308,138400,1
33,-42,-61,147136,146104,144599,143695,1
34,-71,-61,146084,141362,141524,136922,1
35,-40,-46,135462,133434,134073,131481,1
36,-71,-57,146632,135876,139521,131254,1
37,-124,-93,142830,138880,134208,132803,1
38,-53,-53,157288,153572,154073,151237,1
39,-52,-57,145770,145214,143101,142515,1
40,-57,-31,150984,145476,147064,143404,1
41,-53,-64,147076,144880,144379,141437,1
42,-76,-55,133124,124710,128650,121556,1
43,-24,-38,134360,131316,132427,129644,1
44,-54,-39,144808,143648,141493,139471,1
45,-34,-33,133756,127436,131570,125466,1
46,-56,-42,142602,137252,139243,135175,1
47,-83,-45,163074,153500,153395,148087,1
48,-54,-66,138722,139708,135472,135559,1
49,-66,-49,130836,123638,127993,120937,1
50,-82,-54,166740,161780,161197,154809,1
51,-48,-54,145808,132996,135184,129459,1
52,-60,-59,144566,139296,139494,136590,1
53,-56,-43,145904,138350,141557,135030,1
54,-56,-46,145030,144200,142662,141918,1
55,-46,-45,156178,151602,150380,149005,1
56,-71,-96,160604,161254,155777,156599,1
57,-132,-127,150336,152674,140135,142245,1
58,-76,-94,165684,167730,159803,160893,1
59,-48,-40,163382,159488,160290,156787,1
60,-41,-32,133284,126876,130152,124877,1
61,-83,-63,151572,141568,142728,135975,1
62,-79,-52,148894,139818,144871,137514,1
63,-100,-71,162460,151584,156076,148596,1
64,-73,-65,142906,140556,138507,136829,1
65,-60,-54,148034,139496,143379,137319,1
66,-59,-45,167274,163924,164494,161115,1
67,-56,-35,145682,141496,142457,138949,1
68,-78,-74,159112,157360,151596,146680,1
69,-71,-54,158246,156866,151773,152465,1
70,-42,-40,140480,132466,136209,130259,1
71,-87,-73,156444,143618,149960,139080,1
72,-65,-53,134584,138624,130324,133437,1
73,-72,-49,144994,135698,139071,132280,1
74,-81,-48,144522,137266,139834,133202,1
75,-47,-58,151150,150544,146222,142735,1
76,-56,-48,153494,148240,148123,143161,1
77,-63,-50,162522,157050,158614,154408,1
78,-61,-33,132968,129656,130326,127407,1
79,-75,-62,156664,149560,152363,146199,1
80,-69,-65,165214,160182,159216,157274,1
81,-78,-89,144338,144376,139869,137110,1
82,-60,-53,155570,152380,151390,149349,1
83,-54,-44,160654,157830,157396,154368,1
84,-96,-54,174096,157482,166458,154986,1
85,-96,-76,172398,167276,167096,161847,1
86,-85,-71,169176,162896,164909,159304,1
87,-80,-76,152790,149030,148519,145324,1
88,-71,-65,168330,165058,161820,159372,1
89,-40,-52,138472,135218,135259,132843,1
90,-84,-83,153924,142220,147746,136797,1
91,-72,-71,163848,157404,158532,154239,1
92,-54,-35,135104,134382,131820,131482,1
93,-45,-49,145908,147398,141956,142767,1
94,-50,-56,142988,143942,138419,139241,1
95,-40,-35,143602,143598,141381,140801,1
96,-31,-35,133314,133674,131391,131167,1
97,-63,-40,161946,160626,158435,158130,1
98,-73,-73,162828,163572,157440,156268,1
99,-53,-44,156768,156834,154030,151349,1
100,-71,-61,143250,143284,138190,137904,1
101,-61,-43,136310,133902,133075,130915,1
102,-66,-63,157164,153090,153830,149694,1
103,-52,-51,132460,134694,127509,129562,1
104,-43,-46,141690,141524,138440,138661,1
105,-58,-35,168754,163286,165940,160336,1
106,-44,-36,150100,149734,146670,147077,1
107,-47,-52,134342,139372,131761,134955,1
108,-46,-56,142110,142220,138654,138594,1
109,-76,-54,147624,144642,143521,141728,1
110,-49,-45,137716,136774,135773,134246,1
111,-43,-54,156396,162084,153696,158134,1
112,-57,-38,144044,141898,141608,139998,1
113,-64,-52,128756,129870,124379,125121,1
114,-72,-50,163774,167106,159505,164383,1
115,-55,-46,130596,130734,127913,127974,1
117,-43,-46,152526,155836,150154,152884,1
119,-88,-92,159692,160578,153962,153129,1
120,-50,-54,160606,164868,157193,161147,1
121,-35,-34,131876,133184,128616,129432,1
122,-54,-64,148196,151488,144438,147773,1
123,-78,-50,172576,161776,164585,159235,1
124,-77,-63,130826,129076,126081,124979,1
125,-57,-63,149416,148518,146871,144556,1
126,-74,-67,146960,144334,142604,138904,1
127,-65,-67,162886,158572,159552,156063,1
128,-76,-63,168500,167494,165638,164710,1
129,-58,-42,156132,149394,153778,146586,1
130,-60,-58,145718,140708,143450,137732,1
131,-52,-43,142336,134630,139682,132183,1
132,-124,-90,133294,124834,123400,115458,1
133,-33,-41,152220,146596,150087,144671,1
134,-60,-50,148928,147822,146356,144935,1
135,-99,-92,158004,154332,151956,146010,1
136,-99,-85,187280,185520,182099,181106,1
137,-41,-58,131392,130706,127874,127981,1
138,-38,-60,167834,169330,165200,166517,1
140,-76,-42,146278,140562,142514,136729,1
141,-46,-56,156746,152382,146510,144517,1
142,-42,-31,132858,132548,131115,131074,1
143,-83,-96,167086,156168,157143,151109,1
144,-58,-48,160210,158472,151788,147340,1
145,-45,-55,169934,164404,155397,156168,1
