fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
1097782,-33,-35,137106,138072,135782,136258,1
1216620,-42,-40,141484,142080,138406,139153,1
1264721,-22,-24,149818,148654,147323,146734,1
1271401,-39,-46,174878,174532,172436,171461,1
1285465,-48,-56,147162,148946,144612,146472,1
1288657,-59,-55,176106,178458,171610,174076,1
1322220,-67,-58,146626,145524,142181,142496,1
1334556,-82,-73,156112,155902,152545,151756,1
1351931,-23,-28,140334,142142,138547,140771,1
1382333,-43,-40,140356,142646,138232,139089,1
1427581,-42,-40,135642,136918,133149,134796,1
1476437,-64,-87,174068,173476,170157,169589,1
1494230,-99,-94,139280,142858,131981,136496,1
1508861,-32,-38,144788,146422,143607,144771,1
1523112,-47,-42,136842,136002,135064,133880,1
1525492,-126,-103,148136,152222,140348,142592,1
1591238,-30,-27,152616,154520,148781,151156,1
1734822,-26,-23,140820,141410,138907,139101,1
1757866,-61,-54,140658,142682,137615,139958,1
1961098,-48,-34,144288,148078,141818,144901,1
2021454,-41,-36,129868,129536,128050,128342,1
2071045,-45,-52,186832,190080,183216,186597,1
2139745,-47,-32,143258,141498,140265,139048,1
2166659,-46,-48,165650,165130,163386,162809,1
2221971,-84,-81,156078,158696,152552,155067,1
2258252,-45,-54,137798,137716,133090,133455,1
2286816,-47,-51,154514,159060,151712,155213,1
2457957,-52,-54,142088,141966,139278,137544,1
2475376,-57,-43,145040,146864,142218,143703,1
2483617,-34,-29,159858,157920,158285,156372,1
2505567,-83,-86,175670,180886,168593,171399,1
2531270,-35,-33,178718,180364,177301,178850,1
2589215,-42,-44,163198,165168,160994,162945,1
2631208,-57,-44,140828,140044,137478,138016,1
2731081,-48,-43,144568,145500,142274,142414,1
2788776,-37,-48,130792,133288,128548,129992,1
2799329,-46,-49,142974,146154,140004,143677,1
2842950,-38,-27,121680,123644,120384,122004,1
3106263,-59,-46,171544,173858,168421,170262,1
3313349,-54,-69,120212,119606,117585,116294,1
3315657,-62,-46,170384,171338,167747,168351,1
3328556,-154,-158,199400,196836,188587,181485,1
3366302,-51,-53,131552,133604,129365,130965,1
3431940,-36,-31,144824,146122,142777,144791,1
3466763,-45,-28,141088,144030,137304,141578,1
3486362,-46,-42,151768,151556,149427,148561,1
3611212,-24,-42,147522,149378,144801,146730,1
3701005,-29,-25,121928,122198,120024,120487,1
3729976,-47,-29,154280,155966,152597,154370,1
3804254,-49,-41,152742,155262,150658,153189,1
3808535,-26,-39,142834,144540,140734,141874,1
3811036,-27,-37,143546,144856,140988,142345,1
3815065,-25,-31,160272,162416,157928,158342,1
3893245,-49,-61,169672,172800,164115,169585,1
3911767,-34,-59,143802,146236,141621,143581,1
3927656,-29,-38,137942,140140,135846,138141,1
3934325,-32,-38,146218,146576,143951,144143,1
3951328,-68,-68,161946,166256,157927,162501,1
3965194,-49,-65,185116,193024,182067,189227,1
4077433,-35,-32,150970,151908,149620,150903,1
4119751,-41,-48,162962,162002,160499,158787,1
4154799,-50,-44,150696,149300,148742,147730,1
4277600,-54,-41,153506,154986,151039,151126,1
4288245,-45,-37,132670,133546,130834,131502,1
4290056,-28,-28,143292,145988,141970,143953,1
4323037,-60,-51,138640,135974,135874,133221,1
4487215,-65,-87,143670,144182,139702,140083,1
5461463,-50,-37,128236,127772,125475,125091,1
6471972,-66,-59,160032,160516,157495,157198,1
6709880,-63,-56,155712,157984,152824,154676,1
7055197,-32,-48,139410,139978,137602,137567,1
8317157,-34,-51,173610,174072,170806,171109,1
8735778,-36,-27,134740,136194,131336,133832,1
9006154,-95,-103,144640,143432,139368,137756,1
9100911,-27,-25,140702,142706,138662,140488,1
9630905,-52,-43,147286,150896,144241,149616,1
9645370,-36,-25,130276,130412,127846,127940,1
9780496,-131,-128,176780,178318,166941,167093,1
