fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
CH1840,-22,-9,152306,152332,151662,151418,1
CH2917,-38,-27,154110,151230,147158,149643,1
CH5994,-14,-20,116282,118390,115296,117182,1
CH7059b,-15,-17,131552,131884,130330,130394,1
CH7131b,-15,-17,111702,111282,110452,109951,1
CH7172a,-37,-25,161522,164036,159663,162232,1
CH7202b,-13,-12,142258,142838,141570,141183,1
CH7546a,-11,-15,145798,145798,144418,144211,1
CH7674b,-19,-18,130876,133140,130081,131756,1
CH7683a,-14,-22,162404,157566,156035,156625,1
CH7692a,-8,-8,120046,120556,118621,118930,1
CH7869b,-10,-19,142164,143620,141539,142429,1
CH7930a,-30,-47,134548,134826,132534,132345,1
CH8001a,-31,-31,137308,141720,136065,139580,1
CH8004a,-24,-21,106486,106906,105577,105806,1
CH8033a,-18,-9,132568,131738,131432,130987,1
CH8041b,-35,-51,151004,154826,147541,150495,1
CH8095a,-19,-9,113150,114584,112621,113834,1
CH8126b,-26,-20,144330,145280,142991,143232,1
CH8284b,-13,-18,146700,146942,145656,146202,1
CH8301a,-18,-25,158246,158294,157049,157668,1
CH8350b,-10,-9,117958,116744,117152,115690,1
CH8357,-16,-18,130596,133258,128538,132104,1
CH8402b,-20,-19,127380,132968,126426,131136,1
CH8413a,-18,-18,129346,129672,128465,127597,1
CH8508a,-12,-12,128350,129540,127397,129134,1
CH8559b,-14,-16,137138,137644,136223,136902,1
CH8593b,-50,-45,156944,157946,155320,155435,1
CH8698b,-19,-11,122334,121214,121057,120149,1
CH8853b,-22,-21,148322,147924,147106,146226,1
CH8860b,-18,-23,150440,152150,148958,150690,1
CH8914b,-7,-19,120510,120868,118870,119977,1
CH8926b,-11,-16,124100,124198,123095,123376,1
