fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
25599,-32,-33,153676,154592,152441,152947,1
25600,-26,-32,153234,153110,151371,150907,1
25601,-12,-22,161750,164824,159957,160616,1
25602,-39,-38,146980,147440,135968,141416,1
25603,-26,-21,127408,127920,125065,125816,1
25604,-9,-7,129606,129504,128502,128532,1
25605,-8,-6,138648,139454,138016,138941,1
25606,-9,-16,142572,143860,141911,142668,1
25607,-14,-7,145620,144752,144630,144020,1
25608,-16,-17,136118,138002,135341,137092,1
25609,-25,-19,130534,132010,129100,130619,1
25610,-17,-23,160584,162080,159156,161070,1
25611,-18,-11,138954,139192,137528,138520,1
25612,-19,-18,149222,149340,147292,147129,1
25613,-12,-15,144578,146078,144022,144375,1
25614,-22,-28,143396,143520,142143,142474,1
25615,-6,-14,135574,134206,134178,133623,1
25616,-12,-8,135686,134330,134526,133836,1
25617,-16,-6,148602,149966,147673,149659,1
25618,-21,-21,139648,138582,138352,137134,1
25619,-5,-12,127916,127458,125208,124936,1
25620,-15,-30,149650,151452,147073,148347,1
25621,-9,-19,137450,138566,134346,135831,1
25622,-27,-23,142424,143144,139959,140553,1
25623,-17,-11,137420,137484,136120,135238,1
25624,-11,-14,149682,149540,148895,149046,1
25625,-27,-17,145764,145520,144036,144594,1
25626,-25,-18,124068,125482,121978,123812,1
25627,-16,-12,152200,153732,150552,153375,1
25628,-9,-16,130876,130812,129738,129481,1
