fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub01912,-55,-48,154714,156584,151568,153530,1
sub05208,-41,-46,142714,144032,138647,141318,1
sub07578,-32,-31,129916,128084,126558,126544,1
sub09539,-37,-35,155734,156708,152340,153464,1
sub10011,-39,-34,137292,138296,133341,135403,1
sub13384,-34,-51,159098,159244,154641,155614,1
sub16607,-51,-49,149676,152056,145085,148076,1
sub17078,-49,-65,157190,159072,153693,154653,1
sub18638,-45,-42,156362,156014,152028,153046,1
sub21212,-53,-55,158732,158376,153292,154575,1
sub27123,-43,-61,147588,146834,143770,143340,1
sub28808,-38,-48,139238,139056,135414,136071,1
sub29353,-37,-35,151780,148620,147879,146385,1
sub30247,-42,-45,140608,139566,136776,136318,1
sub30623,-28,-37,148242,147542,145420,144140,1
sub30860,-39,-33,147774,147852,143543,144113,1
sub33062,-24,-32,132412,132334,129605,130255,1
sub35262,-29,-49,143222,146470,139149,140431,1
sub41546,-61,-44,158500,158908,154143,154588,1
sub44395,-36,-28,137930,141926,134372,138362,1
sub45217,-48,-52,170744,173384,166096,168219,1
sub47087,-33,-40,128680,129066,125770,126502,1
sub47633,-36,-42,123840,122878,119945,119899,1
sub48830,-33,-44,158176,159736,154666,156755,1
sub50559,-32,-42,145896,145866,140939,143309,1
sub51309,-25,-29,151022,150088,147404,147368,1
sub51677,-45,-34,150972,147348,146365,145726,1
sub53710,-48,-47,160312,157398,155756,153713,1
sub54696,-29,-33,152652,155234,150181,152181,1
sub54887,-20,-26,133956,132688,131779,132055,1
sub55656,-47,-35,147852,149524,144506,146645,1
sub63280,-41,-49,170814,170868,166154,168317,1
sub66085,-54,-34,171514,172026,167589,167666,1
sub66794,-44,-47,132760,133972,128956,130229,1
sub70566,-40,-50,163828,164924,160108,161329,1
sub80566,-50,-67,161992,163254,158349,159257,1
sub82228,-44,-31,143772,141448,139820,137297,1
sub82716,-29,-47,149698,152408,145544,146423,1
sub82754,-47,-49,127728,129862,124278,127107,1
sub83782,-30,-38,135836,135492,133338,133966,1
sub83978,-34,-22,137750,137960,133813,134603,1
sub84224,-32,-34,128584,128006,125824,125602,1
sub87217,-29,-31,148490,147636,144885,145814,1
sub93262,-40,-54,137224,138114,134830,134886,1
sub94169,-44,-37,148008,147542,144462,145202,1
sub94945,-34,-32,151768,150016,149092,148273,1
sub95971,-34,-28,150752,152758,148657,148181,1
sub97008,-44,-23,150974,150490,147721,148528,1
sub98076,-54,-47,155806,157736,151795,155129,1
sub98802,-30,-25,143638,147432,139318,141765,1
