fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub05669,-33,-40,126862,128588,124842,126825,1
sub27813,-75,-56,163994,163374,158505,160485,1
sub31331,-42,-48,143302,143374,139762,138922,1
sub32574,-41,-48,167858,166822,162362,162521,1
sub62019,-39,-47,126854,128914,124530,126179,1
sub67196,-23,-18,121810,120008,117132,119059,1
sub67450,-40,-53,137658,138870,132877,134879,1
sub72729,-25,-21,108756,107134,106767,105511,1
sub75883,-35,-35,119460,117536,117835,116143,1
sub83453,-31,-48,124138,123060,121919,120930,1
sub84858,-69,-55,118926,117476,111508,112246,1
sub85778,-21,-23,111064,113968,110005,111783,1
sub88220,-21,-30,153826,154048,150984,151339,1
sub89853,-34,-38,139500,139734,137701,137920,1
sub93351,-30,-29,146660,143184,143926,141191,1
sub94368,-36,-26,137756,138708,133348,135584,1
sub97881,-32,-32,128020,127544,125593,126482,1
