fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub13411,-40,-38,115696,117342,113433,115274,1
sub32580,-34,-37,119246,118472,115821,115177,1
sub36023,-55,-51,119888,118974,117547,116497,1
sub41006,-32,-33,110234,109432,108140,107782,1
sub43517,-39,-27,136320,132898,132672,131054,1
sub46570,-23,-27,116592,115448,114606,113302,1
sub49705,-35,-51,114816,116420,112110,112464,1
sub53422,-24,-37,130744,127890,128072,126026,1
sub54933,-36,-32,121970,120280,120042,117470,1
sub55760,-42,-37,123944,123382,121085,121473,1
sub58526,-21,-28,117816,119452,116430,116936,1
sub59397,-42,-41,132618,132730,129525,128612,1
sub59799,-55,-50,137888,137300,134378,134151,1
sub62985,-60,-61,117850,117408,113271,114373,1
sub71042,-112,-118,141980,141730,135022,133322,2
sub71743,-49,-55,129958,128798,126262,123455,1
sub76647,-30,-20,129008,127950,126380,126249,1
sub78225,-76,-70,140296,136596,136107,133234,1
sub86204,-35,-24,107874,105490,105569,103577,1
