fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub01077,-161,-150,149386,144722,135075,133897,1
sub01241,-138,-117,138884,133978,125435,125389,1
sub01261,-137,-139,150118,147720,142185,138922,1
sub01679,-113,-90,154368,155096,144436,147894,1
sub02036,-92,-83,142862,140528,133690,134463,1
sub05081,-135,-112,139344,139426,127278,127931,1
sub06307,-120,-109,148024,142652,134079,131916,1
sub07552,-137,-117,130896,131052,119491,122715,1
sub07876,-141,-126,141238,138248,132495,129932,1
sub07946,-127,-112,142848,147844,130761,134526,1
sub10958,-170,-182,149612,148442,130108,130746,1
sub12060,-114,-102,124898,123478,117033,114145,1
sub12126,-180,-137,135846,130334,120748,117821,1
sub12152,-149,-114,170902,167676,157768,155406,1
sub12379,-123,-121,134516,131762,126394,122726,1
sub14473,-130,-140,121130,117724,111213,106037,1
sub14725,-166,-155,158478,150866,140329,135603,1
sub15128,-115,-113,155244,156108,144376,147634,1
sub15422,-116,-122,140692,137748,131199,130560,1
sub15497,NaN,NaN,NaN,NaN,NaN,NaN,3
sub16378,-140,-123,160324,160902,149267,152640,1
sub18356,-148,-146,160020,153048,145894,144174,1
sub19159,-138,-110,137958,136940,129090,128876,1
sub19971,-116,-108,142756,137836,133278,129808,1
sub20495,-145,-119,134734,137876,124334,126583,1
sub20926,-154,-132,141502,139068,131314,127661,1
sub21499,-134,-122,148404,145984,136318,134990,1
sub21502,-149,-154,134672,131712,124557,122556,1
sub22180,-145,-149,176754,172988,161652,162297,1
sub23392,-143,-113,133584,136540,123258,131192,1
sub24781,-109,-74,144012,141450,135915,133109,1
sub25331,-161,-139,132960,130200,118480,119991,1
sub26554,-165,-138,147046,149112,133121,137410,1
sub27274,-126,-128,167342,167724,155318,157762,1
sub27392,-168,-142,145806,143914,129154,126476,1
sub29793,-95,-85,133922,133374,126486,126556,1
sub31444,-143,-144,169350,169680,156446,158096,1
sub32052,-87,-76,122994,122604,116121,116800,1
sub32596,-190,-196,154336,151722,138405,136709,1
sub33176,-160,-140,152356,147218,135875,132008,1
sub35020,-181,-141,150220,147610,140324,136595,1
sub35232,-173,-171,161200,162542,148232,149912,1
sub35967,-144,-108,140566,135522,131342,128133,1
sub39346,-150,-140,170664,170622,153422,159072,1
sub39460,-112,-105,155328,151312,144785,143333,1
sub40619,-100,-106,121220,120810,112400,113366,1
sub41433,-128,-110,131636,128450,121827,119798,1
sub41724,-153,-145,156952,156242,140687,145136,1
sub41731,-144,-115,115712,117680,104006,109138,1
sub43055,-134,-96,142180,142718,133959,132637,1
sub43803,-91,-86,146750,146520,138364,140004,1
sub45566,-128,-128,147480,145148,135559,133518,1
sub46973,-146,-128,161518,158560,149228,149558,1
sub47094,-150,-142,162502,155082,151995,144772,1
sub49227,-102,-94,142364,139866,134046,132361,1
sub50637,-133,-127,144198,144346,134798,133847,1
sub51387,-116,-133,141630,141194,133527,133392,1
sub57150,-110,-97,153084,151808,145970,145889,1
sub58867,-129,-121,144184,144016,130753,135430,1
sub62124,-106,-126,141476,140522,131477,131241,1
sub63516,-122,-95,152168,150386,139516,140047,1
sub65041,-147,-129,152862,147876,139593,136062,1
sub65461,-112,-113,135760,135136,125835,126432,1
sub66467,-103,-99,130328,127004,121619,121252,1
sub68752,-103,-99,112956,110886,102875,103232,1
sub69925,-130,-115,138130,138988,128729,131270,1
sub72000,-167,-120,149640,155764,137170,146757,1
sub72795,-133,-138,143920,144788,131420,132946,1
sub73221,-106,-99,128758,128468,120724,122237,1
sub73709,-109,-110,137636,135988,126853,127152,1
sub73853,-195,-202,152518,153048,129459,127081,1
sub74276,-80,-111,121914,121976,112413,113142,1
sub74941,-159,-130,139122,134576,127609,123492,1
sub75293,-100,-95,144604,141550,134111,132739,1
sub75361,-148,-113,162052,159596,150390,150467,1
sub75620,-112,-107,137236,135064,129243,128395,1
sub76935,-204,-182,145090,146008,126133,123626,1
sub77629,-139,-133,143880,145472,129060,135284,1
sub78282,-106,-92,141480,134694,132650,126189,1
sub78327,-173,-141,146996,150444,135485,142685,1
sub78648,-104,-106,127424,126216,119210,118693,1
sub79784,-117,-116,146072,144886,133797,135803,1
sub84631,-122,-129,148402,145198,137176,135681,1
sub85532,-121,-135,151668,149874,139711,139283,1
sub86362,-131,-122,137302,136142,124390,125308,1
sub86410,-137,-103,143168,142004,130145,133445,1
sub86559,-107,-100,135726,134894,128856,128251,1
sub89213,-116,-117,146848,145676,135228,134182,1
sub90623,-111,-120,124484,124176,113726,113858,1
sub91105,-184,-158,174086,174222,158149,159796,1
sub91222,-114,-121,151694,149684,140495,139565,1
sub91232,-125,-114,140772,140874,131087,132130,1
sub94314,-105,-122,116764,121300,108273,113122,1
sub95854,-136,-100,129986,126894,118206,117768,1
sub96080,-114,-110,145892,145766,135833,138486,1
sub96197,-176,-125,157866,158526,147095,147014,1
sub98146,-114,-85,119354,117674,112927,111204,1
sub98207,-142,-127,170064,167862,156929,156538,1
sub98439,-151,-134,141848,139298,126360,128127,1
sub98661,-121,-103,149512,145440,136241,134829,1
sub98739,-206,-163,155734,151152,139842,138263,1
sub99718,-158,-187,147522,149540,129192,133379,1
