fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub02248,-19,-21,148154,146200,145992,145001,1
sub07210,-22,-24,120842,122188,119418,120440,1
sub13304,-19,-15,121132,119496,119246,118325,1
sub16112,-20,-23,123506,125082,121897,123615,1
sub17516,-11,-11,113432,115816,112756,114674,1
sub23740,-18,-14,135698,137152,134413,136360,1
sub24528,-18,-5,132758,133206,131592,132049,1
sub40095,-13,-16,140956,141200,139326,139659,1
sub40451,-12,-14,131744,129738,130192,128956,1
sub47141,-17,-26,134578,136752,133772,135010,1
sub48778,-20,-21,164324,165582,162896,164159,1
sub56945,-9,-18,125990,125964,125597,125307,1
sub57368,-15,-13,134490,135290,133712,134652,1
sub66945,-15,-13,163162,167760,162163,166012,1
sub68195,-25,-13,157134,157860,155172,156550,1
sub71633,-13,-18,130286,129752,129215,128214,1
sub74429,-6,-11,132148,133298,131503,131995,1
sub76621,-19,-14,158892,160982,158333,160331,1
sub79611,-19,-10,146022,145586,145054,144899,1
sub80089,-13,-14,129250,129190,128663,128463,1
sub82071,-27,-16,149438,149910,147497,148996,1
sub85152,-25,-21,119672,119748,118537,118469,1
