fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
CRM01,-22,-33,139204,141996,137084,140551,1
CRM05,-28,-29,136776,137830,134600,136156,1
CRM06,-18,-24,123216,124252,122305,123146,1
CRM07,-45,-40,159090,163690,157729,159831,1
CRM08,-52,-38,132634,131756,131232,130213,1
CRM09,-43,-53,156502,157264,153515,155155,1
CRM14,-20,-18,140144,140320,138590,138626,1
CRM16,-34,-20,144260,145680,143142,144113,1
CRM17,-23,-12,150168,150536,149115,150113,1
CRM18,-53,-36,135584,134900,133153,133059,1
CRM19,-27,-31,142606,142510,141413,140852,1
CRM201,-50,-30,145914,146140,143869,144055,1
CRM202,-33,-26,150002,153216,147874,151408,1
CRM203,-36,-26,144302,144812,143146,143491,1
CRM204,-31,-34,153814,154024,152554,152852,1
CRM205,-22,-28,136868,137832,135903,136979,1
CRM206,-68,-50,162840,166330,152738,152355,1
CRM208,-39,-42,161242,160654,159817,158556,1
CRM209,-40,-57,139900,140232,137954,138160,1
CRM21,-52,-46,155326,152708,152153,150435,1
CRM211,-34,-41,140686,143910,138063,139691,1
CRM212,-49,-34,131852,131486,130186,129895,1
CRM213,-38,-39,130478,129244,128237,127572,1
CRM214,-46,-46,137572,137398,135536,135386,1
CRM215,-25,-23,118566,118266,117118,116354,1
CRM22,-35,-36,143218,146284,141742,143709,1
CRM27,-48,-54,144722,142234,142091,139572,1
CRM34,-46,-45,128704,127004,127151,125765,1
CRM37,-53,-44,148602,148690,145947,146006,1
CRM38,-42,-33,139596,139138,138150,136274,1
CRM40,-32,-23,144890,144000,143386,142498,1
CRM41,-13,-14,130268,128392,129685,127508,1
CRM53,-29,-31,167296,166352,165841,164590,1
CRM56,-23,-17,133316,132598,132024,131481,1
