fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
29580,-97,-96,154846,156228,149581,150500,1
29581,-45,-45,136826,134348,134357,132566,1
29582,-61,-86,141850,139576,138448,135519,1
29583,-68,-63,151788,150292,147633,146256,1
29585,-72,-67,149612,149662,146470,147109,1
29586,-52,-46,131768,131192,129930,129381,1
29589,-86,-70,130532,131590,127222,128766,1
29590,-79,-74,143504,141072,140723,138112,1
29593,-49,-53,137564,138144,134986,135905,1
29594,-53,-53,159626,158576,157541,155541,1
29597,-63,-65,145480,145314,142360,141881,1
29601,-88,-80,138822,137888,135280,134651,1
29602,-58,-47,145342,145852,142468,143592,1
29604,-54,-40,119166,117166,116964,114841,1
29605,-79,-79,143546,142538,140858,139072,1
29608,-84,-95,154472,152032,150104,147828,1
29611,-72,-59,157546,159748,154039,155810,1
29618,-70,-61,147502,150682,142350,146593,1
