fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub02459,-106,-106,162350,158088,153724,150434,1
sub04117,-113,-101,165312,163554,151211,151767,1
sub16164,-98,-118,165598,160236,156367,153389,1
sub16849,-83,-92,154792,152072,146161,144446,1
sub36229,-83,-95,153944,154366,145132,146621,1
sub39524,-97,-90,137678,133628,128390,126024,1
sub42533,-107,-107,146532,147156,138889,139230,1
sub47468,-112,-99,160154,156374,151497,149552,1
sub49845,-141,-162,150586,150490,137497,138729,1
sub56353,-51,-53,148296,144352,140996,138917,1
sub66095,-117,-131,155708,154796,144302,145920,1
sub68733,-116,-131,144222,141854,136245,133210,1
sub70014,-62,-76,155826,151806,148971,146561,1
sub72118,-105,-107,157616,156504,147943,148536,1
sub80254,-84,-72,148050,143410,142242,138221,1
sub86245,-118,-78,154210,147672,142985,137221,1
sub86850,-105,-95,165970,166210,159573,159871,1
sub88169,-87,-85,163884,156270,151960,149258,1
sub93238,-81,-83,157474,153990,143586,143413,1
