fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-03,-46,-50,138138,137118,135313,134964,1
sub-04,-39,-44,137014,136186,134692,133859,1
sub-05,-89,-92,162072,154292,151060,149065,1
sub-06,-54,-54,149700,152214,147481,149714,1
sub-07,-57,-58,150738,150456,148735,147991,1
sub-08,-76,-83,148372,148102,145901,144523,1
sub-09,-61,-54,147010,148586,143816,146274,1
sub-13,-48,-54,157108,154928,154093,152570,1
sub-14,-75,-69,153772,152216,150389,148140,1
sub-17,-36,-52,123146,123198,120702,121091,1
sub-19,-31,-27,126346,128452,123820,126648,1
sub-20,-38,-32,130680,126746,129288,125601,1
sub-21,-40,-39,159200,152520,153059,150364,1
sub-22,-38,-40,148242,148054,146295,146137,1
sub-24,-57,-46,126698,125300,124606,123541,1
sub-26,-91,-58,132716,131152,128320,128024,1
sub-27,-52,-65,157086,156084,155000,153605,1
sub-29,-66,-40,147378,148026,145405,145827,1
sub-30,-48,-50,141390,139836,138981,137553,1
sub-31,-38,-39,132484,133550,129810,131322,1
sub-32,-43,-42,147122,141912,145633,140162,1
sub-33,-55,-48,156108,160866,152542,158649,1
sub-34,-62,-66,147004,148226,144091,145990,1
sub-35,-72,-77,164630,162716,161150,159427,1
sub-37,-67,-78,156854,154688,152620,151725,1
sub-40,-44,-36,134564,135994,132650,134201,1
sub-41,-46,-64,153188,152080,150484,149472,1
sub-42,-80,-53,148016,149236,144797,146315,1
sub-43,-44,-43,160012,160298,157628,158770,1
sub-45,-43,-31,114520,113852,112862,112623,1
sub-46,-30,-27,163332,160832,161615,159134,1
