fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-01,-43,-38,145382,144686,142742,142212,1
sub-02,-40,-30,133678,136356,131448,132173,1
sub-03,-27,-39,142086,142506,139226,138336,1
sub-04,-30,-33,129350,131312,127714,129176,1
sub-05,-61,-50,126870,125460,119511,118899,3
sub-06,-36,-57,139714,142826,135543,136337,1
sub-07,-51,-47,138120,140104,136021,138257,1
sub-08,-27,-30,121266,121940,119130,120050,1
sub-09,-31,-34,124902,125710,123475,124448,1
sub-10,-60,-44,164694,167006,160846,163040,1
sub-11,-44,-55,129856,131548,126579,128358,1
sub-12,-51,-44,146942,149214,144203,145777,1
sub-13,-38,-43,155732,153608,151601,151469,1
sub-14,-29,-39,125490,123434,123472,121482,3
sub-15,-51,-47,133606,135724,131007,133669,1
sub-16,-30,-33,132472,135020,130604,132683,1
sub-17,-29,-30,144534,147346,141369,144933,3
sub-18,-47,-29,125414,125956,123345,123965,1
sub-19,-51,-37,143758,150128,135112,137152,3
sub-20,-42,-37,141348,143000,139347,141277,1
sub-21,-45,-37,137550,137914,134842,135564,1
sub-22,-40,-41,162844,166784,157707,160025,1
sub-23,-31,-31,137152,137586,135429,136276,1
sub-24,-25,-23,137772,135970,136223,134257,1
sub-25,-25,-24,118342,118424,115353,116307,3
sub-26,-26,-28,133878,134214,131419,132319,1
sub-27,-28,-28,149878,152148,143074,145243,1
sub-28,-77,-64,130836,126942,122738,122370,3
sub-29,-18,-34,164428,159366,156341,157683,1
