fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-013,-35,-39,148134,147204,145647,145323,1
sub-014,-28,-24,138432,141408,137123,139179,1
sub-015,-24,-29,149988,149666,148330,147493,1
sub-018,-31,-24,130720,132740,129272,131640,1
sub-022,-25,-17,125242,124644,123779,123442,1
sub-028,-22,-16,122156,121096,121125,119742,1
sub-029,-29,-27,123832,123484,122398,122050,1
sub-030,-17,-19,139604,140222,137450,136674,1
sub-035,-21,-20,140066,139966,137712,136046,1
sub-036,-26,-24,146208,147580,143497,144653,1
sub-037,-28,-16,128094,127308,125410,124706,1
sub-038,-10,-18,133742,132106,132321,130263,1
sub-043,-16,-18,136796,135638,135107,133609,1
sub-044,-20,-27,159666,159532,156014,156460,1
sub-045,-28,-17,125262,127976,123785,126092,1
sub-046,-28,-24,151306,150146,148749,147621,1
sub-047,-20,-18,113694,112176,111897,110957,1
sub-049,-16,-14,132706,134326,131414,132451,1
sub-050,-16,-14,112876,111946,110852,110760,1
sub-054,-19,-22,132174,130732,130052,129402,1
sub-056,-21,-17,126902,125670,124781,123925,1
sub-059,-50,-38,130026,128076,126770,124790,1
sub-060,-15,-18,140446,141008,138393,139178,1
sub-061,-27,-25,136274,136400,134634,134340,1
sub-111,-34,-24,143942,142960,141893,141710,1
sub-112,-16,-17,142372,142212,140864,140763,1
sub-113,-14,-15,127584,128212,125920,125884,1
sub-114,-17,-14,130134,133036,128839,130421,1
sub-115,-32,-24,133722,134508,131437,132520,1
sub-116,-33,-15,160608,161402,156524,158123,1
sub-117,-10,-14,122034,123546,121272,122196,1
sub-118,-17,-30,149754,150436,148845,149299,1
sub-119,-25,-37,154868,159252,152336,153826,1
sub-120,-17,-9,114884,113672,113565,112688,1
sub-122,-10,-9,124390,125850,122366,123963,1
sub-123,-18,-29,140606,142192,139049,140338,1
sub-124,-16,-18,157618,158552,156015,157339,1
sub-126,-23,-23,140832,147622,139317,144468,1
sub-127,-40,-36,153574,154788,149333,151413,1
sub-129,-32,-23,132110,130828,130242,129194,1
sub-133,-26,-13,136182,137162,134484,135523,1
sub-134,-12,-18,137248,139198,135606,136099,1
sub-152,-22,-23,121784,124438,120729,123251,1
sub-153,-18,-8,128998,127612,126481,125654,1
sub-155,-16,-13,122144,121796,120483,120643,1
sub-159,-13,-21,137054,138916,135244,136868,1
sub-160,-39,-40,149970,150744,146604,146861,1
sub-161,-22,-23,122970,123640,121452,121235,1
sub-162,-12,-17,127962,127764,126833,126371,1
sub-166,-16,-3,118044,117346,116341,116043,1
sub-167,-18,-20,137412,138112,136173,135881,1
sub-169,-29,-30,147404,148664,144168,145515,1
sub-170,-29,-10,131002,132102,129093,130704,1
sub-171,-33,-32,138582,141172,136109,138162,1
sub-172,-27,-32,143704,141872,141655,138783,1
sub-173,-14,-18,129944,129310,127032,127056,1
sub-174,-24,-27,149674,153242,147609,150729,1
sub-175,-24,-19,135672,139418,134790,136931,1
sub-176,-17,-18,134334,132902,133294,131873,1
sub-177,-22,-27,137954,137866,135877,135375,1
sub-178,-32,-21,138178,140390,136528,138058,1
sub-181,-22,-15,147668,148334,145955,146542,1
sub-182,-26,-17,140556,141456,138445,140204,1
sub-183,-43,-32,154544,150294,150842,146824,3
sub-184,-23,-29,128276,129386,127373,127520,1
sub-186,-31,-28,139244,140002,136132,137580,1
sub-192,-18,-16,142898,141866,140966,140275,1
sub-193,-29,-32,143292,143970,139923,140834,1
sub-194,-33,-21,137708,137120,136239,135337,1
sub-196,-26,-28,123422,122562,120176,119456,1
sub-197,-30,-23,140834,140418,138618,138021,1
sub-200,-31,-26,140722,141666,138264,139194,1
sub-201,-49,-41,150318,149590,145609,146636,1
sub-202,-39,-34,149506,149500,146934,145750,1
sub-205,-30,-13,127802,128260,126005,126320,3
sub-207,-22,-12,134176,134864,132534,133491,1
sub-208,-14,-18,146568,145294,143913,142665,1
sub-209,-20,-17,131758,131626,129561,129730,1
sub-211,-36,-37,166176,165888,161683,161814,1
sub-212,-22,-20,118790,118632,116737,116303,1
sub-214,-17,-13,142678,141484,140338,138470,1
