fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
1,-35,-28,162708,162252,160450,159479,1
2,-71,-59,139922,138992,136224,135276,1
3,-29,-41,142318,143418,139455,140843,1
4,-35,-33,141826,141042,139903,138617,1
5,-56,-62,153144,151574,148714,147979,1
6,-40,-70,146264,148806,143281,145766,1
7,-33,-44,126446,127148,123486,125525,1
8,-93,-79,146640,147468,142128,144011,3
9,-56,-69,152938,153432,150259,150931,1
10,-45,-47,156762,155510,154699,153250,1
11,-52,-52,158860,162260,155964,157285,1
12,-42,-23,134922,132406,130339,129517,1
13,-44,-44,171244,176724,167942,173814,1
14,-73,-67,174224,181614,168625,170845,1
15,-48,-54,153430,153304,151089,150800,1
16,-76,-69,145544,145764,141505,141926,1
17,-37,-38,152866,153800,150062,151517,1
18,-59,-45,164624,163052,159929,159599,1
19,-61,-60,139398,137240,134740,133358,1
20,-68,-69,129282,129324,123590,124745,1
21,-45,-41,177456,177796,174646,174699,1
22,-38,-37,137954,137536,135579,135022,1
23,-31,-35,135110,136062,132139,133877,1
24,-51,-52,144240,142796,142216,140864,1
25,-35,-37,147978,146916,145003,145040,1
