fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
C01,-23,-22,155930,153588,153689,152002,1
C02,-37,-31,152856,152368,150476,149635,1
C03,-18,-16,148698,149164,147363,146849,1
C04,-22,-18,131258,131398,129506,129798,1
C05,-22,-13,118510,119622,116480,117090,1
C06,-21,-21,138208,138298,136911,136067,1
C07,-12,-21,141736,143038,140569,141400,1
C08,-18,-17,152804,152050,151608,150225,1
C09,-22,-21,120386,119638,119292,118206,1
C11,-28,-14,127434,126946,126007,125027,1
C12,-26,-37,170214,170970,167957,168339,1
C13,-137,-132,148858,155216,137809,141860,1
C14,-30,-24,152968,153788,151804,151674,1
C15,-27,-21,186324,187314,183293,184008,1
C16,-42,-31,139438,137698,135762,134960,1
C17,-29,-10,136832,135498,134400,133215,1
C18,-28,-24,129368,129506,127515,126660,1
C19,-18,-26,154706,153142,152853,151533,1
C20,-29,-26,132088,133110,130213,131211,1
C21,-37,-20,140216,142374,137920,140452,1
C22,-23,-21,115976,116362,114415,114821,1
C23,-27,-19,148140,147186,145344,144737,1
C24,-25,-27,175090,176924,171686,172285,1
C25,-41,-41,138696,137272,135893,134081,1
C27,-26,-27,154182,152982,151409,151336,1
C28,-24,-16,140926,139246,139510,137843,1
C29,-21,-20,153662,150904,151383,149014,1
C30,-38,-26,142156,142672,140261,140750,1
C31,-25,-39,150250,151760,148005,148836,1
C32,-20,-20,140662,141480,137724,139033,1
C34,-11,-11,146396,146898,144757,144747,1
C35,-19,-27,157638,158588,155540,154448,1
C36,-32,-28,155868,158298,154034,154966,1
C37,-18,-14,130972,132620,128403,129866,1
C38,-16,-22,137102,138272,135980,136826,1
C39,-26,-15,150192,150532,147899,147867,1
C41,-35,-40,182550,178632,179764,174968,1
C42,-38,-22,151950,153636,150482,151758,1
C43,-31,-16,160534,160732,157948,157523,1
C44,-23,-24,145170,144428,143615,142838,1
C45,-26,-25,146996,149290,145312,146676,1
C46,-30,-16,133234,130446,130552,128884,1
C47,-30,-17,119700,118026,117449,116637,1
C48,-15,-12,129580,130028,127525,128222,1
C50,-20,-31,147156,148226,145805,145667,1
C51,-13,-22,144984,145266,143236,142985,1
C52,-15,-24,132492,131074,131336,129776,1
C53,-17,-15,140098,138324,138075,136778,1
C54,-32,-24,152076,152566,149926,151074,1
C55,-18,-24,135546,134678,133797,133427,1
C56,-19,-22,155560,153888,153665,152127,1
C57,-38,-34,166164,164626,163782,162550,1
C58,-44,-50,155502,158198,152319,153740,1
C59,-21,-30,160082,160234,158395,158194,1
C61,-17,-17,143060,143588,141317,141959,1
C62,-25,-23,125954,125396,124044,123407,1
C63,-26,-12,156140,156610,154412,154778,1
C64,-17,-20,151752,150690,150576,148745,1
C65,-20,-15,144408,144394,142483,142800,1
C67,-19,-19,140538,139742,139184,138189,1
C68,-22,-27,141646,140660,140159,139369,1
C69,-26,-21,136662,136858,134803,135174,1
C70,-29,-26,129434,129746,127264,127490,1
C71,-22,-21,124234,121812,122250,119916,1
C72,-22,-12,150844,150248,149413,148868,1
C73,-19,-17,135040,137256,133483,135370,1
C74,-38,-28,153286,151938,151223,149674,1
C75,-27,-30,170194,169836,166964,166819,1
C76,-36,-32,182920,186046,180061,183303,1
C77,-21,-30,148848,150148,146429,147665,1
C78,-17,-28,163328,163692,161215,162125,1
C80,-18,-16,146708,145844,145520,144103,1
C81,-29,-26,150912,150480,149602,148559,1
C82,-21,-23,136190,138722,134389,135441,1
C83,-21,-23,171960,174258,169235,171407,1
C84,-34,-25,147414,149418,145853,146889,1
C85,-35,-25,163426,163702,161007,160961,1
C86,-23,-18,144808,146766,142214,144382,1
C87,-30,-27,144842,143328,143101,141658,1
C88,-24,-23,140330,139116,138569,137387,1
C89,-25,-20,131686,132268,129533,130607,1
C90,-31,-14,138400,138326,136010,137005,1
C91,-21,-13,137528,136124,135216,134342,1
