fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-005,-22,-25,144088,144150,142582,142292,1
sub-007,-17,-16,133918,133618,132714,132549,1
sub-021,-9,-20,127184,123362,125028,121888,1
sub-022,-20,-17,129676,128460,128549,126680,1
sub-029,-13,-18,110522,109438,109212,107959,1
sub-031,-18,-9,139558,137010,137019,134808,1
sub-032,-22,-18,138468,139432,137173,137527,1
sub-033,-26,-24,120646,121606,119415,120080,1
sub-036,-54,-38,140948,141094,139018,138837,1
sub-038,-15,-12,126912,126308,125782,124985,1
sub-042,-21,-29,140104,136586,138168,134696,1
sub-044,-11,-19,147634,145294,145350,143093,1
sub-049,-22,-31,141882,140760,140665,138461,1
sub-050,-19,-14,131130,128074,127994,125547,1
sub-051,-16,-23,138600,140322,137571,137753,1
sub-055,-11,-12,131138,129780,129416,129110,1
sub-062,-31,-26,151982,151796,149173,149314,1
sub-065,-20,-11,143478,141124,139369,138266,1
sub-068,-42,-30,132950,132288,130778,129740,1
sub-075,-36,-42,124370,124428,123117,123147,1
sub-077,-32,-27,144460,144258,142246,142442,1
sub-084,-29,-27,134842,134936,133007,132950,1
sub-085,-27,-26,129356,129734,127275,127170,1
sub-086,-17,-20,134162,134244,132283,131386,1
sub-093,-23,-29,134274,133788,132222,132628,1
sub-097,-16,-12,115344,116334,113343,114196,1
sub-098,-23,-27,128862,127606,127949,126284,1
sub-099,-23,-20,120596,119114,119849,117830,1
sub-100,-26,-15,119370,120230,118297,118574,1
sub-105,-24,-18,134100,135050,133061,133878,1
sub-106,-18,-23,119230,118606,117822,116849,1
sub-110,-33,-36,138170,137192,135928,135345,1
sub-111,-19,-17,147134,146880,144948,143912,1
sub-115,-13,-16,137822,136336,135705,134017,1
sub-117,-18,-21,144238,142182,141869,140127,1
sub-122,-18,-18,131458,129556,129917,127110,1
sub-125,-24,-16,119584,117360,117545,115312,1
sub-126,-30,-34,123722,125288,122215,124124,1
sub-129,-19,-13,115782,115636,113994,114182,1
