fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
1,-101,-87,152806,118790,143988,107064,2
2,-97,-92,162998,163248,146798,151483,2
3,-69,-86,151138,151668,145441,145814,1
4,-43,-54,138630,141104,129098,132974,1
5,-78,-82,155650,150240,146053,142788,1
6,-53,-57,153874,156516,144467,148003,1
8,-79,-58,141638,150014,131229,140783,1
9,-82,-82,171738,172108,158509,164145,1
10,-76,-75,158676,163194,150902,158770,2
11,-41,-18,137018,142850,132093,139135,1
12,-76,-72,161850,172720,151143,161644,1
13,-122,-105,157458,164196,145345,154877,1
14,-54,-61,149108,150044,141356,144648,2
15,-67,-48,131520,137788,125512,129215,1
16,-55,-30,134188,135844,128234,131344,1
17,-77,-61,131690,135986,124006,129525,1
18,-46,-34,135552,137116,124148,130911,1
19,-60,-36,132942,135492,126675,132376,1
20,-66,-40,141630,143732,131528,135114,1
21,-55,-61,162408,158014,149582,148342,2
22,-94,-83,162506,159780,148824,151065,1
23,-63,-65,155362,159662,145679,153191,1
24,-64,-46,138276,134314,131924,130565,1
25,-69,-50,153340,153428,142597,148360,1
26,-109,-59,161432,151050,146684,142595,1
27,-69,-37,134396,131574,125351,125815,1
28,-59,-29,139554,135874,132619,130500,1
29,-59,-75,153480,148974,143904,143545,1
30,-51,-48,125530,104654,120127,96431,1
31,-63,-64,138942,146282,133502,140138,1
32,-57,-52,134736,143088,130107,138994,1
33,-57,-51,133986,134770,127339,131084,1
34,-61,-86,154054,144512,144488,138600,1
35,-64,-58,146482,147556,137501,141397,1
36,-84,-50,131234,135068,126001,130453,1
37,-44,-57,165580,166588,154521,157178,2
38,-44,-35,138250,141158,132022,135943,1
39,-84,-88,137932,149358,130285,138511,1
40,-63,-61,153504,161000,146578,154299,1
41,-99,-97,138172,144032,131691,138533,1
42,-56,-54,147964,158566,138660,149739,1
43,-73,-39,151210,148686,143675,144288,1
44,-75,-66,160048,162148,148819,153574,2
45,-84,-101,147958,144972,136423,137474,1
46,-83,-68,135256,132666,127612,127511,1
47,-113,-71,153422,146458,137793,135094,2
48,-45,-47,135576,139556,127470,134382,1
49,-78,-43,147166,151796,137485,144273,1
50,-55,-65,151642,154076,140526,147821,1
51,-90,-120,189680,183636,168472,167457,1
52,-62,-76,129292,119650,119710,114669,2
53,-66,-61,159270,160068,143418,145904,1
54,-61,-61,160060,156472,152108,151302,1
55,-55,-39,164406,162052,155861,157087,1
56,-40,-60,151896,153042,145855,149385,1
57,-91,-84,165732,164980,147617,153197,1
