fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
31560,-37,-35,154810,155490,151807,152939,1
31561,-16,-35,130546,133380,129140,131262,1
31562,-30,-33,124234,125378,122662,123435,1
31563,-36,-42,141260,140918,139593,137929,1
31564,-39,-49,129218,129606,125179,124467,1
31565,-34,-26,146116,146018,136865,139424,1
31566,-25,-22,142952,145610,141878,142598,1
31567,-43,-34,152660,148122,135042,135429,1
31568,-28,-27,144216,144288,142395,142070,1
31569,-39,-40,143028,143164,141543,140845,1
31570,-21,-24,124338,124354,122496,122687,1
31571,-44,-32,125764,129154,124146,127202,1
31572,-29,-35,142708,143968,139671,142037,1
31573,-37,-22,136536,135238,134155,134306,1
31574,-64,-42,161680,162980,158025,159810,1
31575,-42,-33,145706,146494,143524,144730,1
31576,-61,-64,155312,158044,152361,152868,1
31578,-39,-36,131458,133036,128779,129268,1
31579,-27,-34,145512,146902,142875,143025,1
31580,-16,-20,144860,145904,142675,143192,1
31581,-23,-27,149402,149590,147373,146744,1
31582,-24,-17,143908,145624,141971,143298,1
31583,-43,-39,135440,138038,133837,136340,1
31585,-31,-34,128502,129292,126874,127668,1
31586,-32,-34,136016,136162,134340,134254,1
31587,-28,-35,157124,157784,155607,154867,1
31588,-32,-41,152524,151990,150887,150054,1
31589,-19,-31,136094,135788,133366,133039,1
31590,-46,-38,163596,163882,153066,155864,1
31591,-39,-45,144584,144392,141592,141969,1
31592,-31,-33,138990,140662,136866,138315,1
31593,-33,-36,142294,138724,135943,137085,1
31594,-63,-57,139362,138098,136305,135013,1
31595,-41,-39,121522,121648,119745,119622,1
31596,-27,-29,147746,148542,144505,145526,1
31597,-35,-47,133748,137492,131438,135329,1
31598,-56,-39,135716,135076,133192,132968,1
31599,-33,-42,135118,134438,130475,130190,1
31600,-30,-33,150140,152352,147278,149848,1
31601,-37,-25,133642,131898,128449,128889,1
31602,-53,-46,146562,147334,143194,142886,1
31603,-25,-27,157972,155644,155009,152027,1
31604,-25,-17,130614,129520,128827,127883,1
31605,-37,-38,150028,151090,148694,148234,1
31606,-29,-30,154194,154214,150003,150807,1
31607,-43,-33,142346,142052,140050,140621,1
31608,-32,-25,131144,131014,129582,128950,1
31609,-26,-30,148512,147970,146059,142568,1
31610,-27,-27,156190,153860,151423,151207,1
31611,-25,-30,147368,146896,145593,144727,1
31612,-30,-31,135468,137102,134166,135535,1
31613,-42,-38,147208,147014,137660,136971,1
31614,-32,-26,141586,142402,139750,140954,1
31615,-18,-30,128200,128338,125130,125242,1
31616,-50,-60,136088,136286,126448,129304,1
31617,-18,-14,127164,128070,124617,126235,1
31618,-21,-26,125958,128256,124112,126302,1
31619,-32,-25,133772,132480,132707,130496,1
31620,-20,-21,143570,144408,141236,141650,1
31621,-36,-28,134516,135398,125437,124673,1
31622,-18,-17,146078,145890,145170,144920,1
31623,-29,-33,138400,140062,136580,137173,1
31624,-50,-38,114842,115812,112989,113794,1
31625,-24,-28,145358,149314,144043,145544,1
31626,-42,-39,143040,141552,140473,138074,1
31627,-27,-22,120076,121642,118549,120163,1
31628,-50,-40,156060,155518,151480,150068,1
31629,-15,-19,118766,121054,117711,119271,1
31630,-37,-38,155382,154662,145327,149251,1
31631,-34,-44,147884,151338,146043,148418,1
