fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
25629,NaN,NaN,NaN,NaN,NaN,NaN,3
25630,NaN,NaN,NaN,NaN,NaN,NaN,3
25631,NaN,NaN,NaN,NaN,NaN,NaN,3
25632,-87,-76,142830,141294,138204,138335,1
25633,-58,-55,134878,132646,132234,130322,1
25634,-51,-47,148674,144076,140780,141075,1
25635,-77,-75,155084,158130,145836,145360,1
25636,-54,-44,163926,163846,161202,161777,1
25637,-80,-77,143428,143850,140075,140784,1
25638,-22,-20,153776,157810,151090,155172,1
25639,-70,-77,158132,154912,152609,151011,1
25640,-47,-43,126652,134114,122560,125235,1
25641,-39,-38,137922,137768,135202,135587,1
25642,-25,-21,141752,139454,139443,138052,1
25643,-27,-26,145296,144520,140477,140568,1
25644,-23,-15,140492,141960,138727,139529,1
25645,-53,-47,148644,149938,146394,147366,1
25646,-25,-26,128616,129126,127606,127466,1
25648,-46,-51,131838,131812,129549,128975,1
25649,-23,-41,125544,126020,123261,123605,1
25650,-106,-90,173888,174662,164493,165452,1
25651,-36,-36,138346,139128,134230,136415,1
25652,-40,-30,129272,130864,127524,128765,1
25653,-35,-26,156780,160352,154351,153422,1
25654,-36,-50,146786,146812,143907,143285,1
25655,-29,-28,115606,116892,114020,115525,1
25656,-22,-20,142652,144768,140325,141620,1
25658,-35,-46,144168,144612,141720,142471,1
25659,-41,-36,143342,144778,140668,142788,1
25660,-43,-50,156318,154434,152555,152054,1
25661,-14,-15,121124,121336,120000,119694,1
25662,-33,-37,128972,129672,126667,127790,1
25663,-34,-40,143764,144032,139361,138334,1
25664,-32,-32,138922,138802,137110,136657,1
25665,-68,-57,135016,134196,131276,130999,1
25666,-40,-41,144930,143050,140535,139926,1
25667,-41,-41,140472,139858,137608,136946,1
25668,-22,-27,128134,128226,125919,126485,1
25669,-41,-33,148924,150260,140845,142341,1
25671,-39,-42,180266,180384,171281,173748,1
25672,-27,-23,140452,140570,138504,138503,1
25673,-56,-58,142504,146258,137172,139110,1
25674,-60,-70,144444,144372,141612,140731,1
25675,-60,-48,129114,128312,126025,125856,1
25676,-16,-21,141202,142274,139083,140704,1
25677,-33,-31,134292,135696,132885,133269,1
25678,-57,-39,133886,131024,130735,128604,1
25679,-57,-70,146306,146876,143409,143491,1
25680,-36,-77,174806,178922,162242,165373,1
25681,-47,-35,128704,134336,126804,127098,1
25682,-64,-87,164486,169428,160478,165340,1
25683,-32,-42,167466,169504,162615,162430,1
25684,-40,-45,150450,148178,146556,143316,1
25685,-59,-53,134698,133140,131948,129592,1
25686,-57,-44,150144,151626,146362,146633,1
25687,-61,-65,160004,162940,156929,159354,1
25688,-78,-78,150676,150946,145960,147241,1
25689,-49,-48,136310,137480,132705,133696,1
25690,-81,-81,172774,166194,165737,162311,1
25691,-86,-69,148296,146108,143518,141605,1
25692,-32,-33,161918,160598,157914,158688,1
25694,-33,-34,162052,159086,155461,154135,1
25695,-37,-33,145794,147222,141203,142989,1
25696,-62,-52,147754,146740,142768,142797,1
25697,-49,-42,149416,150282,147004,147536,1
25698,-56,-60,180374,179482,175771,175229,1
25699,-50,-56,151712,153260,145319,146240,1
25700,-64,-44,151172,153476,148274,150519,1
25701,-54,-53,183332,180560,173974,173701,1
25702,-21,-14,146776,146018,145311,144338,1
25703,-53,-48,161486,160152,148229,149597,1
25704,-70,-57,174712,173410,166233,166828,1
25705,-31,-46,138398,142496,136553,138311,1
25707,-68,-58,162312,160962,158256,155529,1
25708,-48,-36,147376,149242,143347,146809,1
25709,-42,-37,170728,169288,163029,164966,1
25710,-24,-31,144030,145406,141630,142353,1
25711,-44,-47,172048,171792,168410,168587,1
25712,-25,-21,165932,167322,160679,161609,1
25713,-51,-48,150184,152062,144752,143723,1
25714,-36,-49,162814,163272,159768,160531,1
25715,-41,-39,143484,142506,140203,139778,1
25716,-55,-43,158946,158270,155947,155262,1
25717,-27,-41,147908,148852,146152,147187,1
25718,-22,-17,151870,153956,150599,152176,1
25719,-42,-31,152260,154288,150775,152411,1
25721,-40,-48,129256,129396,127712,127242,1
25722,-39,-27,141200,140480,138493,137615,1
25723,-13,-32,147734,149958,145007,145135,1
25724,-34,-39,135680,137024,133903,135101,1
25725,-22,-52,155220,155496,152773,151305,1
25726,-52,-37,126990,129484,124594,127986,1
25727,-56,-56,147620,150128,143928,145837,1
25728,-36,-40,159578,155962,147654,151030,1
25729,-42,-46,148942,151284,140940,144758,1
25730,-47,-49,144888,145356,143089,143394,1
25731,-53,-59,157024,160192,153828,155803,1
25732,-27,-38,143370,145932,140838,143067,1
25733,-22,-23,151208,151432,148085,147011,1
25734,-54,-61,155722,154074,152760,151901,1
25735,-20,-25,140826,141976,138918,140570,1
25736,-33,-35,132878,136412,130905,134373,1
25737,-39,-31,143268,137910,134487,134347,1
25739,-22,-35,123512,124916,122084,123353,1
25740,-32,-49,125490,124508,123283,121915,1
25741,-34,-26,132968,123934,131073,117675,1
25742,-34,-32,130368,125684,124346,124281,1
25743,-39,-41,145432,146524,134259,138164,1
25744,-25,-27,138700,139794,137325,138757,1
25745,-31,-42,145110,146406,142868,143949,1
25748,-21,-39,137704,137934,134480,135575,1
25749,-32,-42,159512,161904,157002,159973,1
25751,-65,-66,156228,156346,152464,153693,1
25752,-30,-23,152332,153292,144020,146343,1
25753,-27,-38,144752,145948,142668,143022,1
25754,-35,-25,129852,130274,128303,128773,1
25755,-43,-33,156734,164312,151811,156199,1
25756,-37,-47,124916,123834,120763,121312,1
25757,-26,-23,171448,174034,168292,171700,1
25758,-30,-35,137610,139812,135297,135494,1
25759,-35,-34,155402,159176,149392,152829,1
25761,-31,-34,154730,153874,150246,148789,1
25762,-50,-42,151010,151894,149291,150201,1
25763,-38,-38,132514,134930,128321,130485,1
25764,-34,-31,149960,164608,145555,144782,1
25765,-39,-43,149624,149862,147233,147639,1
25766,-19,-16,141760,141886,139916,139996,1
25767,-31,-37,159056,156726,157324,155415,1
25768,-64,-71,157568,158178,148715,149572,1
25769,-25,-29,128814,129688,127510,128539,1
25770,-82,-84,162938,166918,158594,162615,1
25771,-43,-43,162644,165340,157732,156170,1
25772,-56,-48,145286,146320,142938,143045,1
25773,-54,-33,156494,153306,153955,151553,1
25774,-24,-28,139056,139576,136752,138399,1
25775,-32,-44,143152,143110,141369,141058,1
25776,-32,-16,155808,157290,144913,145595,1
25777,-28,-25,162436,163916,154795,151825,1
25778,-36,-37,134862,133100,132520,131493,1
25779,-36,-30,130106,134992,127186,132768,1
25780,-30,-35,142114,141592,140735,139883,1
25781,-39,-37,133122,132068,131234,129896,1
25782,-21,-29,157026,157250,150369,150145,1
25783,-38,-29,145446,145266,142982,142989,1
25784,-54,-40,140674,138786,131872,137370,1
25785,-31,-20,121480,118476,119694,116828,1
25786,-40,-38,152824,155060,142916,144791,1
25787,-26,-37,142814,144116,140095,141759,1
25788,-52,-48,139576,140002,137326,137997,1
25794,-44,-44,113752,114044,111092,111488,1
25795,-78,-63,136352,141150,132910,135360,1
25796,-53,-59,134638,136374,128005,128398,1
25797,-21,-22,150236,152796,147740,148640,1
25798,-48,-29,161754,163504,158787,161760,1
25799,-29,-36,144066,141352,136152,136663,1
25800,-43,-33,166440,162790,149348,152623,1
25802,-49,-52,175256,173876,170996,171020,1
25803,-28,-18,134474,133670,131424,132533,1
25804,-54,-60,141680,142692,138646,139058,1
25805,-40,-36,157330,155698,147922,150391,1
25806,-43,-40,161364,161548,156430,157568,1
25807,-34,-28,129074,129962,127094,128606,1
25808,-14,-19,165220,166038,162422,164125,1
25809,-31,-44,143532,138206,133408,136123,1
25811,-44,-34,130514,129608,128452,127464,1
25812,-42,-38,122508,123822,120172,121140,1
25813,-32,-34,159808,160798,157819,158355,1
25814,-48,-39,145354,146266,142152,142636,1
25815,-25,-36,163284,171980,158203,161698,1
25816,-39,-30,146692,147286,144071,144231,1
25817,-36,-33,143668,147062,140801,141243,1
25818,-42,-38,142918,141014,134077,134527,1
25819,-28,-33,159404,159926,156982,156722,1
25820,-35,-43,126306,126112,123064,122708,1
25821,-23,-21,123334,124964,121982,123572,1
25822,-43,-35,134342,135026,132321,132941,1
25824,-48,-43,148688,148498,145706,146574,1
25825,-41,-23,138204,138198,127287,126380,1
25826,-31,-24,135472,135326,132811,133498,1
25827,-50,-59,145430,146972,142638,143775,1
25828,-36,-37,159756,159548,150447,149032,1
25829,-49,-56,153978,156846,150971,152968,1
25830,-23,-23,169858,166244,166619,163682,1
25831,-23,-37,151628,156310,149591,150029,1
25833,-33,-49,148554,150064,145343,146038,1
25834,-25,-23,163746,163468,161287,161377,1
25835,-44,-48,163958,162796,161818,160650,1
25836,-57,-34,131154,128706,128174,127243,1
25837,-34,-32,157444,159462,151645,151077,1
25838,-41,-48,163046,161416,158957,157361,1
25839,-43,-55,126182,123702,123459,121280,1
25841,-29,-37,139062,140110,137522,138547,1
25842,-26,-33,129882,129264,128229,124718,1
25843,-25,-35,133858,133302,130887,130650,1
25844,-40,-49,140490,141370,138972,138081,1
25845,-37,-42,135118,136096,133415,133401,1
25846,-21,-24,132216,132706,127645,129673,1
25847,-15,-18,129462,132858,127473,130154,1
25848,-44,-52,130524,123318,122532,120574,1
25849,-29,-27,119730,120338,117656,118897,1
25850,-29,-28,122726,121450,121523,120049,1
25851,-24,-31,135718,135068,132568,132496,1
25852,-26,-36,158966,160312,157163,157547,1
25853,-19,-20,135600,136976,134317,134464,1
25854,-27,-29,142956,142338,141104,139215,1
25855,-38,-36,163044,161950,159570,158783,1
25856,-37,-41,159546,156042,155420,153702,1
25858,-57,-41,146936,153992,141571,144319,1
25860,-61,-54,133232,133434,130342,130457,1
25861,-72,-66,140294,141776,138136,139661,1
25862,-36,-35,158686,159628,156442,156579,1
25863,-49,-35,136116,135744,133284,133985,1
30699,NaN,NaN,NaN,NaN,NaN,NaN,3
30700,NaN,NaN,NaN,NaN,NaN,NaN,3
30701,NaN,NaN,NaN,NaN,NaN,NaN,3
30702,-65,-66,138618,145234,135831,135362,1
30703,-48,-41,141318,140354,136318,137015,1
30704,-46,-48,150538,151456,148005,149146,1
30705,-52,-39,157628,156928,154753,154140,1
30706,-57,-40,143928,141494,136558,136685,1
30707,-96,-95,149646,151708,144798,148073,1
