fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-031437,-36,-33,139052,139826,137172,136622,1
sub-031457,-26,-39,131736,131694,129904,129666,1
sub-031465,-43,-27,143282,133214,129397,131377,1
sub-031466,-31,-33,133362,133324,130848,130120,1
sub-031467,-61,-44,154996,156440,149848,148413,1
sub-031468,-71,-58,142942,141432,139830,138803,1
sub-031469,-65,-48,171200,167154,160197,162270,1
sub-031470,-64,-48,154472,154884,151839,151962,1
sub-031471,-58,-58,142218,143668,140205,140830,1
sub-031472,-81,-76,149752,150414,146523,147242,1
sub-031473,-55,-59,150222,154310,146227,149029,1
sub-031474,-48,-45,136148,135056,130483,132338,1
sub-031475,-50,-53,136712,135884,134377,134099,1
sub-031476,-68,-92,172764,169982,162952,163893,1
sub-031477,-31,-47,137206,136518,133919,134345,1
sub-031478,-32,-29,141328,142484,139886,140733,1
sub-031481,-38,-48,149252,150668,147168,148514,1
sub-031485,-45,-53,146656,151332,144992,148329,1
sub-031487,-48,-38,152820,155482,145274,146905,1
sub-031490,-38,-25,157912,159234,155101,157153,1
sub-031493,-44,-47,153552,150492,150561,148493,1
sub-031498,-17,-16,152254,153418,150257,152077,1
sub-031501,-45,-44,137090,136778,134994,134090,1
sub-031502,-16,-34,115978,118116,114838,115454,1
sub-031503,-40,-35,144184,144104,142190,141956,1
sub-031506,-39,-52,144096,148402,140748,140836,1
sub-031508,-59,-61,143980,144570,141365,142179,1
sub-031509,-53,-43,128506,129356,126027,127070,1
sub-031510,-65,-62,151598,151526,148233,148287,1
sub-031515,-34,-27,119420,119366,116960,117680,1
sub-031516,-83,-82,160094,169306,154719,155431,1
sub-031517,-73,-51,169206,173308,165618,170166,1
sub-031518,-62,-79,160196,160808,157563,156307,1
sub-031519,-46,-54,127120,124184,125581,122563,1
sub-031520,-39,-57,145780,148100,142213,143346,1
sub-031522,-20,-34,129188,130270,127909,128409,1
sub-031523,-21,-27,157944,160458,155963,157881,1
sub-031524,-18,-35,141142,142980,139831,141142,1
sub-031527,-120,-80,173442,173326,161597,159696,1
sub-031529,-56,-52,156334,157192,152677,154014,1
sub-031533,-47,-41,122742,123944,121406,121929,1
sub-031534,-33,-28,134868,135974,132008,134082,1
sub-031540,-20,-21,148054,144318,142963,142450,1
sub-031543,-54,-46,141866,139892,139564,137935,1
sub-031545,-35,-44,134648,134248,130114,130255,1
sub-031546,-54,-41,169850,172880,163823,163794,1
sub-031547,-56,-49,129970,131186,128143,128952,1
sub-031551,-96,-83,173294,168840,166359,164778,1
sub-031552,-26,-25,145618,151452,141830,142783,1
sub-031553,-40,-46,148600,150308,146412,147517,1
sub-031554,-32,-33,147458,146432,144893,143765,1
sub-031555,-27,-32,142464,143636,137534,137833,1
sub-031556,-47,-53,143870,146924,140280,142332,1
sub-031557,-48,-45,151004,148754,147080,144527,1
sub-031559,-60,-48,149140,152438,143684,143527,1
