fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub02115,-21,-11,130472,129472,129374,128878,1
sub02142,-38,-42,137932,140586,135863,136739,1
sub03345,-40,-26,163310,166738,161237,164990,1
sub12941,-23,-17,151252,150860,149604,150136,1
sub16236,-17,-22,158658,160138,156099,158062,1
sub26219,-27,-21,168634,169602,166535,168222,1
sub26678,-12,-13,138338,137420,137218,136826,1
sub28304,-26,-21,126242,126492,125091,125976,1
sub35127,-40,-29,187770,188264,184885,185860,1
sub35575,-17,-17,160602,159476,157887,156767,1
sub45636,-17,-21,141390,142516,139694,141170,1
sub46405,-34,-32,150192,150534,148933,149453,1
sub49563,-23,-19,164342,162732,163258,161463,1
sub52065,-31,-24,147964,149092,145374,146569,1
sub53324,-23,-29,156280,157424,155092,156264,1
sub58674,-16,-23,131422,131232,130133,130206,1
sub61357,-5,-14,123618,124286,122496,123252,1
sub73002,-30,-26,161510,163406,159274,161837,1
sub73125,-18,-17,155068,156464,153380,155185,1
sub73471,-31,-35,157906,159828,155815,158228,1
sub74078,-35,-33,139420,138770,137900,137665,1
sub80832,-20,-16,140968,139882,139392,138621,1
sub82830,-10,-13,132330,133716,131319,132773,1
sub88150,-17,-26,133720,135190,132251,133872,1
sub88823,-49,-35,149464,148742,147202,147396,1
sub95001,-11,-10,139618,139316,138050,138826,1
sub95721,-21,-21,145136,144832,144220,143697,1
sub95786,-29,-28,141348,138462,139775,137210,1
sub95967,-24,-15,151502,154408,150218,150561,1
sub97935,-10,-15,131790,133306,129871,131287,1
sub99965,-29,-35,134054,135174,132429,133817,1
