fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
NDARCD401HGZ,-11,-16,157290,156504,156355,155696,1
NDARDX770PJK,-15,-6,152638,152538,151496,151864,1
NDAREZ098ZPE,-12,-14,128636,128546,127993,127667,1
NDARGY054ENV,-8,-6,114080,112646,113360,112499,1
NDARHF023VG3,-11,-16,129446,130086,128724,129571,1
NDARKH741PL8,-35,-21,123190,123012,121393,122198,1
NDARKW999WZD,-7,-8,136158,134360,135207,133716,1
NDARLB017MBJ,-9,-14,121326,120388,120540,119740,1
NDARMR242UKQ,-10,-10,139926,138484,139013,137819,1
NDARNE511XHU,-10,-8,130966,131144,130209,130721,1
NDARRA733VWX,-7,-16,122338,117480,121792,116527,1
NDARRD720XZK,-12,-10,132918,130984,132165,130282,1
NDARTR840XP1,-28,-15,124048,124774,123029,123908,1
NDARXJ696AMX,-16,-12,137418,136970,136413,135821,1
NDARYY218AGA,-26,-23,161034,161352,159597,160610,1
NDARZJ414CAA,-13,-9,145996,146042,144938,145644,1
NDARZP564MHU,-116,-133,125168,130590,108766,111969,2
