fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
203,NaN,NaN,NaN,NaN,NaN,NaN,3
204,10,10,283754,283754,NaN,NaN,3
205,21,21,322568,322568,NaN,NaN,3
207,NaN,NaN,NaN,NaN,NaN,NaN,3
208,-62,-54,163778,163398,146084,151297,1
209,-35,-39,165414,161888,149045,151891,1
211,NaN,NaN,NaN,NaN,NaN,NaN,3
213,NaN,NaN,NaN,NaN,NaN,NaN,3
215,-37,-30,149246,145968,144164,140310,1
216,-20,-17,145360,155180,143367,146054,1
217,NaN,NaN,NaN,NaN,NaN,NaN,3
221,-23,-19,138726,139296,131383,131524,1
222,NaN,NaN,NaN,NaN,NaN,NaN,3
223,-22,-15,150812,152290,144669,144546,1
224,-21,-18,145674,144120,141567,139526,1
225,-19,-17,141608,137408,135379,133992,1
226,-20,-8,162080,158848,152466,151894,1
228,-15,-14,136688,132448,131004,127687,1
229,-20,-19,158394,158858,153822,154290,1
