fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
18001,-29,-33,122788,120446,117573,117565,1
18002,-36,-38,156442,150992,150661,145743,1
18003,-33,-30,152850,153104,146788,145624,1
18007,-32,-24,136916,137092,133766,134438,1
18008,-24,-16,146138,144068,139950,139103,1
18009,-89,-81,186990,185510,174385,175720,1
18013,-22,-15,159884,160036,155789,154449,1
18015,-29,-33,168896,167272,162663,160381,1
18016,-26,-32,156522,152902,147865,148740,1
18018,-27,-49,137960,137734,134466,134166,1
18019,-31,-24,137346,135052,133486,131447,1
18020,-47,-31,151930,148782,146306,143692,1
18023,-20,-36,133428,131632,128460,127364,1
18024,-30,-41,148748,145312,140715,137862,1
18025,-32,-23,139450,135446,131595,130274,1
18026,-19,-29,140240,141098,133664,135550,1
18027,-18,-35,156008,159362,148141,146834,1
18028,-32,-37,152382,148778,146756,145193,1
18029,-31,-29,129784,130230,125367,126028,1
18030,-22,-34,150578,148946,142506,140852,1
18032,-44,-52,171822,170882,163182,162585,1
18033,-32,-42,155678,149884,148667,145432,1
18035,-19,-19,134028,132478,129930,129758,1
18036,-10,-26,158308,156530,152571,151435,1
18037,-40,-32,149222,150550,145793,147806,1
18039,-44,-34,138000,134624,132024,130472,1
