fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
1015,-43,-29,147284,148812,143582,145224,
1024,-19,-19,131512,134428,129912,132472,
1036,-27,-32,135262,135870,133646,134267,
1043,-10,-17,167444,168478,165877,167004,
1044,-16,-16,147482,146094,145552,144096,
1055,-17,-17,135068,133354,133642,131811,
1056,-28,-30,152748,152100,151097,150361,
1060,-45,-40,149788,150810,147617,148618,
1065,-36,-18,173432,171632,171294,170317,
1069,-26,-19,159700,160738,157299,159966,
1073,-42,-42,179082,186246,175483,177912,
1074,-17,-11,149990,150526,146762,147497,
1078,-19,-24,141956,142084,140048,140360,
1079,-31,-21,157210,157284,155289,155619,
1081,-29,-17,153256,153092,151837,151838,
1084,-19,-26,149952,150346,147222,147400,
1086,-35,-38,171134,171522,167875,168384,
1094,-17,-20,151484,153754,150330,151915,
1096,-75,-62,151348,151612,146608,147729,
1097,-25,-25,164106,163506,161347,160929,
1099,-56,-47,137410,134966,128907,131272,
1104,-29,-29,146380,149882,143496,147023,
1105,-26,-25,160296,156680,157440,155527,
1111,-18,-19,147846,151526,145070,149857,
1113,-16,-27,162130,164296,158921,158696,
1118,-24,-20,149758,151044,148156,149600,
1120,-31,-35,152018,153762,150216,151454,
1133,-16,-15,137700,140512,136690,139581,
1144,-24,-17,125296,124440,124007,123439,
1147,-21,-17,109344,110442,108211,109651,
1149,-38,-48,143592,143320,141181,141681,
1152,-47,-37,157212,157276,154490,154959,
1154,-21,-19,137648,137068,135650,135921,
1158,-18,-22,135576,137284,134734,135762,
1161,-41,-28,146360,148592,141423,142417,
1176,-35,-18,134318,134800,132061,132969,
1192,-65,-61,148744,147632,145788,145191,
1215,-29,-17,151020,149898,148696,147555,
1218,-24,-25,164230,163306,162435,161862,
1219,-24,-20,153500,152608,151794,151492,
1220,-19,-14,141614,146180,140236,141467,
1228,-37,-47,177606,177420,175255,173935,
1230,-26,-17,126858,125904,125034,123873,
1234,-22,-24,125626,128312,123419,126127,
1237,-24,-21,136544,136356,135217,134624,
1239,-16,-15,148192,148670,146947,147776,
1241,-24,-25,148424,148912,145283,146275,
1268,-22,-29,132866,135286,131672,133887,
1282,-19,-17,130420,130438,128612,128954,
1306,-16,-22,131850,131698,130490,130793,
1327,-12,-23,135052,135974,132575,134460,
1332,-19,-18,128620,130414,127874,129333,
1333,-18,-20,151556,152156,143662,147801,
1337,-20,-14,146024,146442,143835,144890,
1340,-20,-13,138968,140360,137288,138890,
1341,-23,-26,152904,153798,151453,151711,
143,-21,-18,134628,136882,131167,134966,
182,-20,-20,141562,141688,139564,140150,
186,-28,-24,128184,128550,126554,127112,
199,-28,-21,125996,124692,123828,123808,
205,-23,-25,107568,110502,105841,109381,3
217,-24,-17,126798,127496,125346,126210,
328,-19,-25,156884,158696,154712,155986,
342,-64,-36,166146,158602,157644,155112,
349,-13,-13,127224,127510,125131,126186,
358,-17,-36,151202,157562,148976,152825,
381,-19,-13,152972,157878,151443,154725,
383,-25,-23,137376,139852,135010,137333,
410,-19,-18,140160,140360,139001,139186,
564,-11,-11,140218,141118,139190,139941,
567,-28,-22,137694,136524,135889,135005,
571,-22,-18,126710,126232,125017,124798,
572,-22,-17,138902,139900,137154,137900,
576,-22,-24,144528,149126,142081,146211,
579,-36,-31,145032,148342,142692,146443,
580,-19,-25,141926,142092,139491,139364,
583,-25,-7,136860,137712,135866,136397,
590,-17,-18,129812,128688,128086,127495,
592,-27,-20,126026,125528,124397,123790,
594,-30,-28,139968,140960,137757,138915,
606,-20,-28,143474,142344,141511,140127,
673,-42,-22,135604,135088,132096,133396,
676,-22,-17,130004,130154,128609,128249,
691,-32,-42,154062,155208,151672,152474,
693,-36,-27,148950,153896,147067,150016,
695,-17,-16,120056,120404,118205,119516,
748,-41,-31,174868,176420,172319,173106,
817,-21,-23,133558,137868,131793,135055,
823,-18,-20,150376,150400,148313,147591,
861,-17,-25,136170,136598,134754,135115,
865,-25,-16,139948,139374,137997,137543,
93,-12,-12,132040,132008,130805,130812,
936,-26,-24,133532,132276,131840,131120,
949,-4,-12,140634,142334,138597,140279,
963,-15,-15,144814,145964,142584,143725,
999,-35,-23,147070,152470,145395,150321,
FR_03_001,-30,-46,135150,137746,133522,135358,
FR_03_002,-28,-22,125262,125772,123639,123626,
FR_03_003,-46,-30,133650,133600,128602,128937,
FR_03_004,-24,-25,136698,138408,135349,136930,
FR_03_005,-12,-15,134684,133960,133163,132223,
FR_03_007,-49,-53,174340,178674,170735,173879,
FR_03_008,-10,-15,133824,136006,132452,134661,
FR_03_009,-36,-27,149528,153422,146928,150126,
FR_03_010,-18,-15,146508,147804,145004,146542,
FR_03_011,-26,-22,146944,148480,145341,146095,
FR_03_012,-21,-18,136538,136920,135306,135119,
FR_03_013,-32,-19,172804,174658,165052,166822,
FR_03_014,-21,-36,133722,139868,132380,136714,
FR_03_015,-24,-32,127424,133080,124983,127449,
FR_03_016,-14,-8,143752,143068,142398,141746,
FR_03_017,-30,-28,164474,166408,161663,164530,
FR_03_018,-28,-16,137334,136798,135652,135633,
FR_03_019,-32,-33,135540,135424,134083,134094,
FR_03_020,-14,-15,141028,139230,139345,138304,
FR_03_021,-26,-30,141376,143076,140226,141421,
FR_03_022,-23,-25,143580,142866,141993,141784,
FR_03_023,-29,-33,144478,145306,141577,141362,
FR_03_024,-31,-21,136472,136646,134178,135173,
FR_03_025,-31,-30,129960,130164,127904,128384,
FR_03_026,-44,-45,134622,135316,132749,132603,
FR_03_027,-27,-26,154232,154050,152345,152690,
FR_03_029,-24,-20,151572,151998,148454,149977,
FR_03_030,-10,-14,136430,137344,135664,135598,
S_fi_001,-20,-17,152374,152358,148239,149092,
S_fi_003,-25,-34,140064,141144,138337,139557,
S_fi_004,-26,-30,135470,136242,131339,133137,
S_fi_005,-31,-21,126308,128702,124077,126813,
S_fi_006,-11,-11,113754,113204,112964,112396,
S_fi_007,-20,-9,128382,130814,127211,130099,
