fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
27259,-37,-42,170390,169364,166880,165912,1
27260,-55,-42,150056,147904,146599,144046,1
27261,-41,-44,125628,123494,123682,121086,1
27262,-44,-32,162184,157656,155903,154789,1
27263,-28,-23,136522,134896,134255,132661,1
27264,-46,-40,170592,168438,167751,166009,1
27265,-43,-45,153988,154748,147301,147852,1
27266,-28,-32,113994,116472,111396,113458,1
27267,-63,-54,141358,139164,136454,134718,1
27268,-57,-57,152716,148070,147780,144028,1
27269,-22,-32,135764,134272,133655,131738,1
27270,-25,-15,147118,142488,145257,140158,1
27271,-38,-28,128556,123160,125923,120971,1
27272,-44,-34,157790,160050,152620,153852,1
27273,-34,-24,135016,134746,132426,132212,1
27274,-75,-54,175192,168534,169466,164882,1
27275,-30,-36,153952,152306,150928,148482,1
27276,-31,-38,148032,143002,146075,141121,1
27277,-22,-36,127878,127148,126040,124438,1
27278,-23,-26,141558,140314,140467,138367,1
27279,-39,-31,157888,158848,154421,155811,1
27280,-72,-59,182580,174512,178065,169036,1
27281,-42,-30,151936,150992,150076,147618,1
27282,-47,-48,158994,152154,154579,148433,1
27283,-53,-43,148620,148584,145018,143731,1
