fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
1,-15,-13,136558,135878,135821,134912,1
2,-19,-22,145140,144078,143824,142923,1
3,-37,-24,144564,143626,143071,142703,3
4,-14,-18,137332,141810,135614,138473,1
5,-33,-30,166222,169240,164325,167367,1
6,-28,-18,152594,157826,151132,155363,1
8,-23,-35,137574,138570,136429,137290,1
9,-20,-24,140522,139776,138998,138519,1
10,-15,-13,140882,142812,140281,142221,1
11,-19,-28,141954,142992,141016,141386,1
12,-11,-17,150714,152176,149491,151444,3
13,-26,-14,119826,120724,118701,119566,1
14,-20,-25,138260,137618,137188,136029,1
15,-22,-21,158188,157130,156457,155954,1
16,-17,-24,136710,137172,136011,135902,1
17,-15,-15,118866,118872,118138,117762,1
18,-25,-17,153844,156416,152067,155886,1
19,-16,-19,148784,145694,146884,144666,3
20,-44,-40,146460,146450,145039,145123,1
21,-17,-20,135792,137644,135038,136528,1
22,-26,-31,140948,140754,139729,139232,1
23,-27,-26,140266,140888,139257,138655,1
24,-14,-19,135214,137700,134195,137000,1
25,-19,-23,120024,119936,119405,118748,1
