fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-01_T1w,-16,-13,148538,150714,147070,148604,1
sub-02_T1w,-29,-30,136932,136454,134660,134325,1
sub-03_T1w,-47,-32,164980,165840,162375,162173,1
sub-04_T1w,-31,-36,137670,139874,135648,137933,1
sub-05_T1w,-27,-24,157952,160364,156115,158790,1
sub-06_T1w,-58,-59,160148,159668,156345,155967,1
sub-07_T1w,-17,-25,157262,157316,155221,155770,1
sub-08_T1w,-23,-19,154684,157496,152753,155301,1
sub-09_T1w,-17,-25,143832,144948,141739,142448,1
sub-10_T1w,-25,-19,136252,136442,135203,135143,1
sub-11_T1w,-20,-41,132408,133496,130161,131027,1
sub-12_T1w,-24,-50,160866,164986,158505,162290,1
sub-13_T1w,-23,-39,165312,165492,164077,163613,1
sub-14_T1w,-43,-34,143466,143110,140736,141363,1
sub-15_T1w,-40,-35,148800,148974,146350,146515,1
sub-16_T1w,-29,-26,131106,131020,129205,130341,1
sub-17_T1w,-19,-16,126484,127662,125296,126748,1
sub-18_T1w,-23,-25,140514,142474,138238,139950,1
sub-19_T1w,-35,-44,129970,131698,127712,129471,1
sub-20_T1w,-27,-27,153598,155572,151892,153573,1
sub-21_T1w,-45,-26,142174,145240,139997,143483,1
sub-22_T1w,-46,-36,160500,161624,156487,158196,1
sub-23_T1w,-28,-23,148254,151510,146303,149422,1
sub-24_T1w,-24,-18,136480,135798,135023,134289,1
sub-25_T1w,-33,-29,161444,162312,159952,161177,1
sub-26_T1w,-17,-9,131286,133520,130174,131680,1
sub-27_T1w,-28,-17,145850,148360,143347,146078,1
sub-28_T1w,-11,-15,151942,153600,150337,152774,1
sub-29_T1w,-13,-32,139662,143164,138312,142173,1
sub-30_T1w,-31,-25,163504,167982,161184,165753,1
sub-31_T1w,-17,-8,149590,152646,147906,151101,1
sub-32_T1w,-49,-42,151084,155776,147388,152010,1
sub-33_T1w,-27,-23,138084,140066,136630,137997,1
sub-34_T1w,-30,-36,154794,158616,152457,157136,1
sub-35_T1w,-25,-34,138216,141276,136494,138173,1
sub-36_T1w,-62,-51,143106,146184,139093,142038,1
sub-37_T1w,-16,-17,137418,137384,135851,136071,1
sub-38_T1w,-34,-32,147796,147174,145468,145156,1
sub-39_T1w,-43,-55,174320,177520,169001,172155,1
sub-40_T1w,-30,-28,139046,141648,137646,139828,1
sub-41_T1w,-21,-32,140694,141238,138285,139183,1
sub-42_T1w,-45,-28,172230,175742,170007,173264,1
sub-43_T1w,-26,-27,133644,132612,132132,131275,1
sub-44_T1w,-25,-18,138736,140002,137121,138520,1
sub-45_T1w,-31,-26,133242,134254,130360,131624,1
sub-46_T1w,-42,-38,147960,149682,145384,147677,1
sub-47_T1w,-28,-23,146170,145654,143940,144176,1
sub-48_T1w,-23,-28,137808,140720,135867,138930,1
sub-49_T1w,-24,-24,148148,145788,145600,144454,1
sub-50_T1w,-47,-40,162780,165766,159761,162819,1
sub-51_T1w,-38,-41,180288,184860,175599,180603,1
sub-52_T1w,-27,-33,137636,135726,135601,134508,1
sub-53_T1w,-19,-19,153960,157410,153011,156078,1
sub-54_T1w,-40,-33,158066,160652,155848,158373,1
