fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-02_T1w,-14,-14,142128,143644,141056,142576,1
sub-03_T1w,-23,-17,163124,165360,159276,161885,1
sub-04_T1w,-12,-14,140638,142238,139826,141562,1
sub-05_T1w,-8,-15,152792,149192,151714,148688,1
sub-06_T1w,-14,-23,145114,147390,143790,145850,1
sub-07_T1w,-12,-15,150320,150348,149156,149168,1
sub-08_T1w,-14,-14,145204,146584,144094,145667,1
sub-09_T1w,-13,-14,128082,128198,126877,127346,1
sub-10_T1w,-15,-10,142126,141462,140745,140909,1
sub-11_T1w,-11,-12,161928,163470,160458,162179,1
sub-12_T1w,-8,-11,130204,131434,129597,130747,1
sub-13_T1w,-18,-24,148682,147830,147336,145689,1
sub-14_T1w,-12,-20,144178,143946,143281,142721,1
sub-15_T1w,-5,-13,148098,149058,147095,147636,1
sub-16_T1w,-17,-11,135770,137154,134415,136285,1
sub-17_T1w,-19,-19,132054,131598,130912,129813,1
sub-18_T1w,-11,-22,149540,149940,148027,148885,1
