fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-02003_ses-01_run-01_T1w_defaced,-36,-31,139202,142676,138087,140192,1
sub-02004_ses-01_run-01_T1w_defaced,-44,-61,124628,132712,122759,130069,1
sub-02005_ses-01_run-01_T1w_defaced,-57,-57,119626,122908,116935,119865,1
sub-02006_ses-01_run-01_T1w_defaced,-47,-36,146326,148876,143373,146922,1
sub-02007_ses-01_run-01_T1w_defaced,-61,-64,135726,141262,132966,138199,1
sub-02010_ses-01_run-01_T1w_defaced,-51,-55,161566,163356,158544,160705,1
sub-02011_ses-01_run-01_T1w_defaced,-46,-23,140358,143636,138518,142058,1
sub-02012_ses-01_run-01_T1w_defaced,-25,-17,112514,117194,111546,116003,1
sub-02014_ses-01_run-01_T1w_defaced,-48,-52,125250,130302,122760,126671,1
sub-02015_ses-01_run-01_T1w_defaced,-60,-43,165052,169010,161837,165252,1
sub-02016_ses-01_run-01_T1w_defaced,-26,-31,139834,138744,138013,136755,1
sub-02017_ses-01_run-01_T1w_defaced,-34,-41,131842,134070,129294,131393,1
sub-02018_ses-01_run-01_T1w_defaced,-30,-28,135458,134226,133344,132744,1
sub-02019_ses-01_run-01_T1w_defaced,-32,-43,123418,128220,121369,126618,1
sub-02021_ses-01_run-01_T1w_defaced,-38,-25,138758,138324,136515,136589,1
sub-02022_ses-01_run-01_T1w_defaced,-108,-117,123546,128084,114889,118703,1
sub-02024_ses-01_run-01_T1w_defaced,-43,-42,138796,136914,134498,131490,1
sub-02027_ses-01_run-01_T1w_defaced,-18,-23,134574,140002,132870,138465,1
