fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-01_T1w,-24,-29,154308,154900,152716,153205,1
sub-02_T1w,-18,-11,143440,142672,141475,141317,1
sub-03_T1w,-11,-14,150312,150170,148762,149575,1
sub-04_T1w,-25,-28,130674,127158,129556,125769,1
sub-05_T1w,-20,-16,145538,142406,143434,141332,1
sub-06_T1w,-26,-31,145546,141378,144133,140125,1
sub-07_T1w,-16,-13,116854,116822,115994,115822,1
sub-08_T1w,-40,-37,151684,149182,148876,147156,1
sub-09_T1w,-15,-20,152632,151122,151821,150141,1
sub-10_T1w,-43,-29,146594,147014,144119,145135,1
sub-11_T1w,-33,-20,137080,136484,135115,135219,1
sub-12_T1w,-20,-12,142942,142196,141699,141571,1
sub-13_T1w,-27,-25,149968,153318,148918,151260,1
sub-14_T1w,-32,-28,141944,139396,140406,137887,1
sub-15_T1w,-22,-16,135752,134864,133462,133251,1
sub-16_T1w,-29,-16,124140,122002,123004,121340,1
sub-17_T1w,-9,-14,128202,129094,127623,128376,1
sub-18_T1w,-38,-39,151616,151670,150332,150266,1
sub-19_T1w,-26,-17,131164,128836,128983,128084,1
sub-20_T1w,-21,-19,126116,126002,125359,125347,1
sub-21_T1w,-41,-41,164232,161048,162197,159004,1
sub-22_T1w,-21,-20,124612,124780,123471,123583,1
sub-23_T1w,-20,-21,172080,171584,170963,169981,1
sub-24_T1w,-22,-27,121042,119860,119790,118689,3
sub-25_T1w,-14,-15,144368,143928,143612,143400,1
sub-26_T1w,-23,-17,139768,140890,138706,138972,1
sub-27_T1w,-8,-17,137604,139070,136595,138288,1
sub-28_T1w,-19,-18,145666,143380,144568,141185,1
sub-29_T1w,-20,-17,156928,156256,155793,154827,1
sub-30_T1w,-25,-11,144564,143464,143072,142397,1
sub-31_T1w,-20,-29,132000,133440,130997,131689,1
sub-32_T1w,-12,-19,137384,136762,136738,135258,1
sub-33_T1w,-9,-27,126732,127124,125611,126197,1
