fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-01_T1w,-46,-31,154826,154514,151709,151758,1
sub-02_T1w,-20,-32,131728,133854,129858,131357,1
sub-03_T1w,-25,-26,153154,152128,149907,149532,1
sub-04_T1w,-40,-45,162798,164918,160674,160817,1
sub-05_T1w,-35,-42,166236,165272,163761,162202,1
sub-06_T1w,-18,-30,161026,158446,157995,155412,1
sub-07_T1w,-25,-21,145590,150052,143795,148604,1
sub-08_T1w,-11,-17,158726,155522,157231,154206,1
sub-09_T1w,-13,-13,136266,134852,134705,133539,1
sub-10_T1w,-14,-24,140136,141064,139506,139594,1
sub-11_T1w,-27,-19,134256,135346,132863,133262,1
sub-12_T1w,-9,-16,119098,119288,118078,117951,1
sub-13_T1w,-19,-23,124416,124502,122251,122344,1
sub-14_T1w,-26,-31,123832,124300,121915,122136,1
sub-15_T1w,-18,-18,136070,136808,134310,134986,1
sub-16_T1w,-19,-29,137350,137634,135772,136626,1
sub-17_T1w,-88,-87,137312,139234,131244,133973,1
sub-18_T1w,-69,-62,128534,132056,123551,127250,1
sub-19_T1w,-30,-17,145158,144292,143114,142908,1
sub-20_T1w,-25,-37,134312,134340,132989,132409,1
sub-21_T1w,-19,-16,140316,142620,138724,140782,1
sub-22_T1w,-27,-10,149988,151230,149088,149449,1
sub-23_T1w,-44,-27,139216,141840,136587,138686,1
sub-24_T1w,-35,-41,127214,127848,125099,125921,1
sub-25_T1w,-37,-37,171064,171818,168416,168821,1
sub-26_T1w,-22,-16,142794,145614,140902,143076,1
sub-27_T1w,-13,-15,138596,136482,136424,134790,1
