fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-control02_ses-1preEEG_T1w,-50,-39,144178,141226,141717,138597,1
sub-control03_ses-1preEEG_T1w,-12,-18,131956,129666,131335,128325,1
sub-control04_ses-1preEEG_T1w,-27,-24,118422,119954,117224,118657,1
sub-control05_ses-1preEEG_T1w,-34,-49,149370,146886,147605,144480,1
sub-control06_ses-1preEEG_T1w,-40,-52,158126,155210,154909,151745,1
sub-control07_ses-1preEEG_T1w,-37,-34,138976,136008,136988,134198,1
sub-control08_ses-1preEEG_T1w,-39,-30,150694,150610,147803,148390,1
sub-control09_ses-1preEEG_T1w,-28,-34,124068,122928,122548,121337,1
sub-control12_ses-1preEEG_T1w,-33,-50,127406,126238,124842,123395,1
sub-control15_ses-1preEEG_T1w,-22,-31,146676,143846,144972,142199,1
sub-control16_ses-1preEEG_T1w,-44,-38,149092,149262,146649,146654,1
sub-control17_ses-1preEEG_T1w,-33,-29,161290,152804,151551,148414,1
sub-control18_ses-1preEEG_T1w,-27,-30,123798,123646,122537,122467,1
sub-control20_ses-1preEEG_T1w,-17,-31,136134,136110,132503,133632,1
sub-control21_ses-1preEEG_T1w,-17,-33,106988,109780,106031,108889,1
sub-control22_ses-1preEEG_T1w,-37,-44,123412,120426,121357,116760,1
sub-control23_ses-1preEEG_T1w,-15,-20,137542,136778,136191,135523,1
sub-control24_ses-1preEEG_T1w,-32,-37,152832,151442,151338,149783,1
sub-control25_ses-1preEEG_T1w,-32,-35,138074,136116,135034,133047,1
sub-control26_ses-1preEEG_T1w,-28,-45,128226,129172,126042,126710,1
sub-NF01_ses-1preEEG_T1w,-35,-37,118202,121738,116616,119484,1
sub-NF02_ses-1preEEG_T1w,-29,-31,156768,155996,155284,154094,1
sub-NF03_ses-1preEEG_T1w,-38,-50,132408,132692,130259,130118,1
sub-NF04_ses-1preEEG_T1w,-19,-34,133108,131502,131746,128945,1
sub-NF05_ses-1preEEG_T1w,-39,-32,135870,134684,134016,133217,1
sub-NF06_ses-1preEEG_T1w,-25,-18,122276,122928,120558,120980,1
sub-NF07_ses-1preEEG_T1w,-31,-35,147004,146870,145600,144639,1
sub-NF08_ses-1preEEG_T1w,-64,-68,116268,115584,109897,110013,1
sub-NF10_ses-1preEEG_T1w,-23,-30,130718,129516,129491,127707,1
sub-NF11_ses-1preEEG_T1w,-33,-45,142642,141964,140433,139499,1
sub-NF13_ses-1preEEG_T1w,-34,-24,154946,155940,152994,154155,1
sub-NF14_ses-1preEEG_T1w,-41,-36,159690,160294,157326,157046,1
sub-NF15_ses-1preEEG_T1w,-43,-37,161384,161072,159672,157948,1
sub-NF16_ses-1preEEG_T1w,-64,-56,130720,130042,127259,126250,1
sub-NF19_ses-1preEEG_T1w,-27,-27,158370,147092,156190,145392,1
sub-NF21_ses-1preEEG_T1w,-38,-38,133736,133674,132209,131629,3
sub-NF22_ses-1preEEG_T1w,-45,-36,144514,141424,141092,139245,1
sub-NF23_ses-1preEEG_T1w,-51,-46,141708,139512,138886,137239,1
sub-NF25_ses-1preEEG_T1w,-38,-39,175748,175058,173195,172486,1
sub-NF26_ses-1preEEG_T1w,-38,-45,155450,158644,153142,155823,1
