fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-02_T1w,-41,-30,136028,135694,133330,132711,1
sub-03_T1w,-17,-23,162628,162230,160844,161131,1
sub-04_T1w,-28,-31,173330,176036,171302,174195,1
sub-05_T1w,-21,-24,152916,155350,149971,153607,1
sub-06_T1w,-19,-21,168514,168488,166547,166108,1
sub-07_T1w,-19,-22,165322,164994,163058,163482,1
sub-08_T1w,-38,-36,154470,159374,152321,157180,1
sub-09_T1w,-11,-14,125018,124054,123189,123320,1
sub-10_T1w,-22,-21,131532,130868,129816,129788,1
sub-11_T1w,-25,-20,119520,119798,117665,118840,1
sub-12_T1w,-26,-29,137522,138284,135513,136276,1
sub-13_T1w,-34,-32,133456,135286,131412,131909,1
sub-14_T1w,-33,-45,130700,133142,128439,130265,1
sub-15_T1w,-28,-22,148652,149844,147003,148104,1
sub-16_T1w,-22,-48,148906,151686,146782,148882,1
sub-17_T1w,-26,-36,131814,132464,128858,131070,1
sub-18_T1w,-24,-20,147340,147610,145751,146255,1
sub-19_T1w,-14,-16,142852,143532,141431,142308,1
sub-20_T1w,-48,-40,163142,164516,161045,162399,1
sub-21_T1w,-22,-20,150518,152004,148112,149337,1
sub-22_T1w,-22,-30,143974,145904,142095,143260,1
sub-23_T1w,-16,-18,129188,130282,128303,129434,1
sub-24_T1w,-41,-31,160734,160566,157423,158680,1
sub-25_T1w,-10,-16,142370,142310,141192,141044,1
sub-26_T1w,-31,-34,141766,142268,138238,140504,1
sub-27_T1w,-38,-28,156834,156342,153277,154891,1
sub-28_T1w,-17,-28,139520,139640,137511,137832,1
sub-29_T1w,-33,-42,151580,153092,149321,150471,1
sub-30_T1w,-32,-25,155716,155714,152757,153956,1
sub-31_T1w,-37,-32,149652,148854,147037,146230,1
sub-32_T1w,-57,-50,183326,183042,180210,180278,1
sub-33_T1w,-48,-34,164644,167010,160023,163456,1
sub-34_T1w,-24,-36,167380,167428,164962,165212,1
sub-35_T1w,-40,-35,126766,127606,124716,124676,1
sub-36_T1w,-34,-28,142752,141694,139495,140349,1
sub-37_run-1_T1w,-25,-28,150442,151080,148966,149239,1
