fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-04,-78,-53,133006,128376,120546,109497,3
sub-05,-24,-23,139798,141678,136977,138004,1
sub-06,-19,-25,133706,134840,131509,131449,1
sub-07,-33,-31,147480,152224,144594,149403,1
sub-08,-22,-32,155486,156872,154391,154512,1
sub-09,-18,-25,143606,145134,141677,143256,1
sub-10,-16,-23,146432,148812,144906,147602,1
sub-11,-31,-24,134368,136834,131426,134479,1
sub-13,-11,-13,147640,149468,146686,148455,1
sub-14,-33,-17,141878,140170,139924,138841,1
sub-15,-13,-24,132474,134072,131340,132424,1
sub-16,-33,-24,130502,132008,128849,131336,1
sub-17,-27,-21,131130,132382,129764,131750,1
sub-18,-10,-28,167746,164710,166907,163292,1
sub-19,-24,-17,125896,127124,122912,126089,1
sub-20,-5,-14,140282,138696,139592,137611,1
sub-21,-123,-133,113726,113438,99456,98748,3
sub-22,-18,-17,138568,139808,136977,138612,1
sub-24,-13,-20,143100,142128,141399,140553,1
sub-25,-34,-38,127284,128240,124817,124858,1
sub-26,-33,-23,134818,135998,132909,133697,1
sub-27,-21,-24,154226,154248,152135,152488,1
sub-28,-34,-22,121828,123648,119940,122188,1
sub-29,-15,-20,155430,159116,154411,153648,1
sub-30,-38,-39,133928,137176,132195,135008,1
sub-33,-27,-25,142528,145050,140734,142937,1
sub-34,-25,-28,125362,126008,122992,124680,1
sub-36,-30,-28,163790,165640,161000,163088,1
sub-37,-26,-22,118974,117162,117055,115760,1
sub-38,-10,-16,128110,128744,126777,127553,1
sub-39,-11,-11,131200,131690,129808,130785,1
sub-40,-13,-13,140522,142864,139409,140986,1
