fullpath,lhEuler,rhEuler,lhVtx0,rhVtx0,lhVtx1,rhVtx1,Include
sub-01_ses-day1_T1w,-16,-7,126312,125882,124652,124579,1
sub-02_ses-day1_T1w,-17,-9,155578,154530,153756,152259,1
sub-03_ses-day1_T1w,-19,-30,148940,151934,146916,148725,1
sub-04_ses-day1_T1w,-20,-22,155614,153802,153969,152266,1
sub-05_ses-day1_T1w,-16,-19,137796,139006,136586,138088,1
sub-06_ses-day1_T1w,-16,-18,114534,116472,113622,115048,1
sub-07_ses-day1_T1w,-35,-17,116292,114732,114308,113458,1
sub-08_ses-day1_T1w,-13,-10,140900,143352,139833,141636,1
sub-09_ses-day1_T1w,-19,-16,140128,141732,138764,140379,1
sub-10_ses-day1_T1w,-28,-24,139396,140398,138006,139012,1
sub-11_ses-day1_T1w,-22,-17,135938,137068,134856,136462,1
sub-12_ses-day1_T1w,-16,-13,136550,137354,135315,136348,1
sub-13_ses-day2_T1w,-14,-14,130462,129598,128424,127371,1
sub-14_ses-day1_T1w,-32,-34,142756,144526,140651,142743,1
sub-15_ses-day1_T1w,-36,-32,153696,156020,151422,154295,1
sub-16_ses-day1_T1w,-26,-19,147474,147300,146523,146549,1
sub-17_ses-day1_T1w,-11,-18,139674,140618,138338,139143,1
sub-18_ses-day1_T1w,-30,-29,144252,141420,142064,140131,1
sub-19_ses-day1_T1w,-23,-13,132508,132464,130751,131782,1
sub-20_ses-day1_T1w,-23,-21,140058,140840,138478,138933,1
sub-21_ses-day1_T1w,-23,-13,136726,136814,135433,135958,1
sub-22_ses-day1_T1w,-24,-27,151594,156668,150618,154634,1
sub-23_ses-day1_T1w,-40,-29,160766,161520,156624,158482,1
sub-24_ses-day1_T1w,-15,-25,139940,142376,138569,140852,1
sub-25_ses-day1_T1w,-32,-19,140026,140614,137700,138603,1
sub-26_ses-day1_T1w,-16,-18,151562,153934,150373,152831,1
sub-27_ses-day1_T1w,-22,-21,165534,165632,163785,164202,1
sub-28_ses-day1_T1w,-17,-25,143494,147104,142413,143812,1
sub-29_ses-day1_T1w,-37,-23,142074,141404,140065,139943,1
sub-30_ses-day1_T1w,-15,-23,168310,170306,166784,168562,1
sub-31_ses-day1_T1w,-20,-13,132966,135836,131787,134912,1
sub-32_ses-day1_T1w,-23,-22,141378,142248,140284,141235,1
