Site,Country
030_UCLA,USA
110_stanford,USA
119,USA
203,Spain
222,UK
238,USA
AGEILITY,Australia
AOMIC_Amsterdam,Netherlands
ARGENTINA,Argentina
ARG_AI,Argentina
AnnArbor,USA
Atlanta,USA
BCN_Pepo,Spain
BCN_Valli,Spain
BEIJ_ZANG,China
BNU1,China
BNU2,China
Baltimore,USA
Berlin_Margulies,Germany
Berlin_NeuroBureau,Germany
CAMB_BUCKNER,USA
CAMCAN,UK
CANADA_Creativity,Canada
COBRE,USA
Colombia,Colombia
Cambridge117,UK
Chengdu,China
Cuba,Cuba
Dallas,USA
FORNITO,Australia
FRANCE_food,France
GAP,UK
Graz,Austria
Hangzhou,China
ICBM,Canada
IPCAS1,China
IPCAS3,China
ISRAEL,Israel
IXI_GUYS,UK
IXI_HH,UK
IXI_IOP,UK
Indiana,USA
Italy_agreeableness,Italy
JENA_Heart,Germany
KRACOW,Poland
Kirby,USA
Leiden_2200,Netherlands
Leipzig,Germany
MADRID_Valli,Spain
MEXICO_C,Mexico
MEX_A,Mexico
MEX_B,Mexico
MEX_PragLang,Mexico
NKIRockland,USA
NMORPH,USA
NanjingCoRR,China
NewYork_a,USA
NewYork_b,USA
Newark,USA
Oulu,Finland
Oxford,UK
POA,Brazil
Pasteur,France
Queensland,Australia
RUSSIA_Arithmetic,Russia
RUSSIA_Auctions,Russia
RUSSIA_SpeechDisfl,Russia
SKorea_confusability,Skorea
STGO,Chile
SUDMEX_CONN,Mexico
SWITZ_Reward,Switzerland
SWITZ_Speeded,Switzerland
SWUSALD_merged,China
SWUSLIM,China
SaintLouis,USA
SaoPaulo,Brazil
StatenIsland,USA
TRAIN,USA
UDD,Chile
UK_Naturalistic,UK
UWM,USA
VirginiaTech,USA
Washington,USA
cVEDA_NIMHANS_A,India
cVEDA_NIMHANS_ICX,India
cVEDA_NIMHANS_SK,India
cVEDA_PGIMER,India
cVEDA_RISHIVALLEY,India
competition_between_items_princeton_on,USA
decoding_intentions_UCL_on,USA
ds000001,USA
ds000002,USA
ds000005,USA
ds000007,USA
ds000008,USA
ds000009,USA
ds000030,USA
ds000053,USA
ds000101,USA
ds000102,USA
ds000110,USA
ds000115,USA
ds000116,USA
ds000140,USA
ds000168,USA
ds000210,USA
ds000212,USA
ds000217,USA
ds000228,USA
ds000229,USA
ds000243,USA
ds121Pennsylvania,USA
ds148Poland,Poland
ds170Israel,Israel
ds171Kansas,USA
ds201Stockholm,Sweden
examining_effects_of_arousal_california_on,USA
milky_vodka_princeton_on,USA
negative_template_magdeburg_on,Germany
numberlinemaking_stanford_on,USA
personally_familiar_faces_dartmouth_on,USA
prospective_remembering_princeton_on,USA
rsfMRI_single_session_EEG_moscow_on,Russia
sherlock_merlin_princeton_on,USA
violation_differentiation_princeton_on,USA
SouthAfrica_Scheffler,South Africa
SouthAfrica_Lochner_ALL,South Africa
SouthAfrica_Lochner_SK,South Africa
SouthAfrica_duPlessis_S1,South Africa
SouthAfrica_duPlessis_S2,South Africa
SouthAfrica_duPlessis_S3,South Africa
USP1,Brazil
USP3,Brazil
Turkey,Turkey
INPD_SP,Brazil
INPD_POA,Brazil
